Fsm,No_of_testcases,Execution Time,Total Time taken
ex2.test,80,0.19212416000000002,0.46825511999999997
ex7.test,40,0.18449727999999993,0.4268475799999998
lion.test,57,0.15929823999999998,0.42355242000000004
bbsse.test,256,2.33517248,2.62973049
bbsse.test,131072,122.32953344000005,158.96916759999996
bbsse.test,4096,2.9690649600000008,4.551965910000002
bbsse.test,65536,65.16792895999998,89.9546095
bbsse.test,16384,10.037331840000002,15.697694100000005
bbsse.test,222464,171.5921536000001,233.54189210000004
planet.test,65536,327.8016831999999,349.20587026999993
planet.test,4096,1.3906492800000003,2.851322079999999
planet.test,131072,1003.6402915199998,1043.7765714500001
planet.test,801792,14548.286562239999,14784.117407549997
planet.test,16384,2.91305344,7.93612238
planet.test,256,1.02132416,1.2252683399999997
modulo12.test,48,0.1636672,0.4365373200000001
bbara.test,256,1.0223158399999999,1.3634800200000001
bbara.test,2560,1.41862016,3.333606849999999
ex4.test,4096,1.63598816,3.052427959999999
ex4.test,13312,5.729608,9.602522119999998
ex4.test,256,1.2730563200000002,1.6074620899999994
s386.test,4096,3.75537696,5.293450469999998
s386.test,131072,143.81764415999996,180.88736171999994
s386.test,256,3.0856041600000004,4.623593629999999
s386.test,16384,18.769256960000003,23.748907580000004
s386.test,212992,190.20810047999998,251.13120488
s386.test,65536,65.87305312,84.90079727999999
bbtas.test,96,0.17641344000000003,0.44362829999999986
s27.test,256,0.28234144000000005,0.80541114
s27.test,1536,0.5776336000000001,1.2860455100000001
s1.test,1310720,1824.2999311999997,2191.73138998
s1.test,4096,5.508321280000001,6.910806569999997
s1.test,131072,88.50693183999998,125.45415874999993
s1.test,256,5.3913872,6.255360869999999
s1.test,65536,47.53586560000001,67.37238107999998
s1.test,16384,13.032706879999994,18.065946749999995
s1.test,1024000,1478.8103308799994,1767.1570816600006
dk14.test,448,0.6769379199999999,1.0990042899999994
dk14.test,256,0.4578134400000001,0.8014615499999995
beecount.test,256,0.41589471999999994,0.83866813
beecount.test,363,0.51973664,0.89893065
lion9.test,71,0.18726527999999995,0.4542316200000001
dk15.test,256,0.33003168000000005,0.66552388
pma.test,131072,209.19157855999995,247.6035076700001
pma.test,65536,109.84319455999997,130.07215837999996
pma.test,16384,34.244060480000016,39.7110645
pma.test,256,11.001952640000003,12.10509495
pma.test,4096,14.287016959999999,16.30840383
pma.test,511552,1204.9399232000003,1349.4889362799995
cse.test,4096,2.88751104,4.30831613
cse.test,256,1.3328400000000002,1.6361997000000008
cse.test,65536,55.97707136000001,75.97623404000001
cse.test,16384,9.698839360000008,15.452314360000004
cse.test,456624,492.70303392,616.7526202099999
cse.test,131072,88.62626016,126.43431956
donfile.test,384,0.39056896,0.79369033
donfile.test,256,0.31562431999999996,0.6661160800000002
ex6.test,7168,1.6237283199999992,4.015651800000001
ex6.test,256,0.53694464,0.8890249999999998
ex6.test,4096,1.1667148799999998,2.6458449000000006
ex5.test,68,0.19279008000000006,0.44571444000000016
keyb.test,16384,87.80190272,92.56438757999996
keyb.test,256,58.002126719999985,58.16396974999998
keyb.test,131072,218.86861664,255.60772044
keyb.test,888984,1714.7482835199996,1963.1617160800004
keyb.test,4096,64.43577088,66.67390870999999
keyb.test,65536,128.39723776000005,147.4093061
ex3.test,80,0.19367551999999996,0.44549375
