Fsm,Test-Cases,No_of_threads,Total CPU,Execution GPU,Total GPU
aim.test,1344963,32,1477.4282535857,0,0
aim.test,1344963,8,4459.3542879131,0,0
aim.test,1344963,4,6729.2487658182,0,0
aim.test,1344963,1,10484.4974958182,0,0
aim.test,1024000,32,401.10152639,482.49973952,779.99573774
aim.test,1024000,8,924.25072771,482.49973952,779.99573774
aim.test,1024000,4,1529.3609345067,482.49973952,779.99573774
aim.test,1024000,1,3874.5530664138,482.49973952,779.99573774
aim.test,131072,32,15.63431748,56.42370336,95.44438455
aim.test,131072,8,27.68912123,56.42370336,95.44438455
aim.test,131072,4,49.33716953,56.42370336,95.44438455
aim.test,131072,1,156.32198944,56.42370336,95.44438455
aim.test,65536,32,5.23999837,28.59836288,49.42742261
aim.test,65536,8,10.0435028,28.59836288,49.42742261
aim.test,65536,4,18.44320905,28.59836288,49.42742261
aim.test,65536,1,61.26883585,28.59836288,49.42742261
aim.test,16384,32,1.40526305,8.38100768,13.89896823
aim.test,16384,8,2.63557925,8.38100768,13.89896823
aim.test,16384,4,3.81938876,8.38100768,13.89896823
aim.test,16384,1,14.28962682,8.38100768,13.89896823
ares.test,65023,32,3.86248405,9.54327136,29.86151933
ares.test,65023,8,7.09741058,9.54327136,29.86151933
ares.test,65023,4,12.88235474,9.54327136,29.86151933
ares.test,65023,1,44.14641337,9.54327136,29.86151933
ares.test,16384,32,0.89028916,1.91989664,7.01339573
ares.test,16384,8,1.60844264,1.91989664,7.01339573
ares.test,16384,4,2.70528246,1.91989664,7.01339573
ares.test,16384,1,8.48731061,1.91989664,7.01339573
bgp.test,64536,32,4.19623384,10.31475648,29.04168328
bgp.test,64536,8,8.14315306,10.31475648,29.04168328
bgp.test,64536,4,14.24114553,10.31475648,29.04168328
bgp.test,64536,1,49.74631019,10.31475648,29.04168328
bgp.test,16384,32,1.24695044,1.78944704,6.47828436
bgp.test,16384,8,1.90726198,1.78944704,6.47828436
bgp.test,16384,4,3.91065628,1.78944704,6.47828436
bgp.test,16384,1,11.59807207,1.78944704,6.47828436
dayofdefeat-source.test,512328,32,183.05516156,966.55042112,1120.44595225
dayofdefeat-source.test,512328,8,411.16534792,966.55042112,1120.44595225
dayofdefeat-source.test,512328,4,707.77526969,966.55042112,1120.44595225
dayofdefeat-source.test,512328,1,1418.1816764561,966.55042112,1120.44595225
dayofdefeat-source.test,131072,32,9.55520277,22.28857984,56.92752335
dayofdefeat-source.test,131072,8,17.02781675,22.28857984,56.92752335
dayofdefeat-source.test,131072,4,31.15597509,22.28857984,56.92752335
dayofdefeat-source.test,131072,1,96.42872264,22.28857984,56.92752335
dayofdefeat-source.test,65536,32,3.60298513,11.43613568,30.12692807
dayofdefeat-source.test,65536,8,7.08217685,11.43613568,30.12692807
dayofdefeat-source.test,65536,4,12.66013723,11.43613568,30.12692807
dayofdefeat-source.test,65536,1,43.68871344,11.43613568,30.12692807
dayofdefeat-source.test,16384,32,1.12588191,3.33897728,8.38981855
dayofdefeat-source.test,16384,8,1.6383354,3.33897728,8.38981855
dayofdefeat-source.test,16384,4,2.67819586,3.33897728,8.38981855
dayofdefeat-source.test,16384,1,8.84530871,3.33897728,8.38981855
dhcp.test,384400,32,86.02103105,80.46950016,183.30482674
dhcp.test,384400,8,197.0967321,80.46950016,183.30482674
dhcp.test,384400,4,343.52638513,80.46950016,183.30482674
dhcp.test,384400,1,745.67618657,80.46950016,183.30482674
dhcp.test,131072,32,9.85436638,18.9037872,55.87514909
dhcp.test,131072,8,18.41523808,18.9037872,55.87514909
dhcp.test,131072,4,33.18037185,18.9037872,55.87514909
dhcp.test,131072,1,103.72271567,18.9037872,55.87514909
dhcp.test,65536,32,4.077813,9.622936,29.83477194
dhcp.test,65536,8,8.59327948,9.622936,29.83477194
dhcp.test,65536,4,14.34936021,9.622936,29.83477194
dhcp.test,65536,1,47.69994231,9.622936,29.83477194
dhcp.test,16384,32,1.02959803,2.8061472,7.33728318
dhcp.test,16384,8,1.76932538,2.8061472,7.33728318
dhcp.test,16384,4,3.23383491,2.8061472,7.33728318
dhcp.test,16384,1,9.77755633,2.8061472,7.33728318
ftp.test,49106,32,4.75983693,4.91823168,21.1888504
ftp.test,49106,8,8.34341736,4.91823168,21.1888504
ftp.test,49106,4,14.77091459,4.91823168,21.1888504
ftp.test,49106,1,37.88789749,4.91823168,21.1888504
ftp.test,16384,32,0.98818013,1.70794176,7.09375571
ftp.test,16384,8,1.39553357,1.70794176,7.09375571
ftp.test,16384,4,2.2560696,1.70794176,7.09375571
ftp.test,16384,1,6.52161172,1.70794176,7.09375571
gopher.test,283403,32,142.10256039,50367.68992,50466.605058
gopher.test,283403,8,221.25037743,50367.68992,50466.605058
