FSM,Testcases,No_of_threads,Total CPU,Execution GPU,Total GPU
aim.test,1344960,32,1522.567309,778.569728,1101.568453
aim.test,1344960,8,4525.373843,778.569728,1101.568453
aim.test,1344960,4,6741.690536,778.569728,1101.568453
aim.test,1344960,1,10477.214711,778.569728,1101.568453
aim.test,131072,32,20.910871,49.2752,89.467072
aim.test,131072,8,35.769355,49.2752,89.467072
aim.test,131072,4,64.000933,49.2752,89.467072
aim.test,131072,1,152.92492,49.2752,89.467072
aim.test,65536,32,10.317394,23.842528,41.48364
aim.test,65536,8,13.503909,23.842528,41.48364
aim.test,65536,4,27.630105,23.842528,41.48364
aim.test,65536,1,77.489059,23.842528,41.48364
aim.test,16384,32,1.81909,7.773952,11.596121
aim.test,16384,8,3.583005,7.773952,11.596121
aim.test,16384,4,6.852072,7.773952,11.596121
aim.test,16384,1,17.634471,7.773952,11.596121
aim.test,4096,32,2.421891,2.604608,3.887444
aim.test,4096,8,1.042174,2.604608,3.887444
aim.test,4096,4,1.909185,2.604608,3.887444
aim.test,4096,1,3.641462,2.604608,3.887444
aim.test,256,32,4.399102,2.033472,2.461701
aim.test,256,8,0.034222,2.033472,2.461701
aim.test,256,4,0.059854,2.033472,2.461701
aim.test,256,1,0.152534,2.033472,2.461701
ares.test,65020,32,8.132545,14.248768,29.828433
ares.test,65020,8,11.288609,14.248768,29.828433
ares.test,65020,4,20.874972,14.248768,29.828433
ares.test,65020,1,50.984867,14.248768,29.828433
ares.test,16384,32,5.284132,1.817216,5.465022
ares.test,16384,8,2.296455,1.817216,5.465022
ares.test,16384,4,4.515457,1.817216,5.465022
ares.test,16384,1,9.12974,1.817216,5.465022
ares.test,4096,32,0.293403,0.742208,2.25078
ares.test,4096,8,0.599029,0.742208,2.25078
ares.test,4096,4,1.197501,0.742208,2.25078
ares.test,4096,1,3.647538,0.742208,2.25078
ares.test,256,32,4.318155,0.50352,0.848014
ares.test,256,8,0.033803,0.50352,0.848014
ares.test,256,4,0.058947,0.50352,0.848014
ares.test,256,1,0.110699,0.50352,0.848014
battlefield2.test,1476790,32,1116.731183,1037.597664,1387.723797
battlefield2.test,1476790,8,2781.800161,1037.597664,1387.723797
battlefield2.test,1476790,4,4736.228757,1037.597664,1387.723797
battlefield2.test,1476790,1,11586.345,1037.597664,1387.723797
battlefield2.test,131072,32,27.315259,24.90976,65.591502
battlefield2.test,131072,8,52.435822,24.90976,65.591502
battlefield2.test,131072,4,102.111512,24.90976,65.591502
battlefield2.test,131072,1,240.088548,24.90976,65.591502
battlefield2.test,65536,32,11.826667,12.236704,27.033519
battlefield2.test,65536,8,16.390175,12.236704,27.033519
battlefield2.test,65536,4,29.303366,12.236704,27.033519
battlefield2.test,65536,1,104.975987,12.236704,27.033519
battlefield2.test,16384,32,2.608438,2.614272,6.28468
battlefield2.test,16384,8,4.937091,2.614272,6.28468
battlefield2.test,16384,4,8.464292,2.614272,6.28468
battlefield2.test,16384,1,22.61137,2.614272,6.28468
battlefield2.test,4096,32,4.616239,1.42368,2.698952
battlefield2.test,4096,8,1.403184,1.42368,2.698952
battlefield2.test,4096,4,2.622825,1.42368,2.698952
battlefield2.test,4096,1,7.265184,1.42368,2.698952
battlefield2.test,256,32,0.024165,0.31456,0.488052
battlefield2.test,256,8,0.033035,0.31456,0.488052
battlefield2.test,256,4,0.057061,0.31456,0.488052
battlefield2.test,256,1,0.149321,0.31456,0.488052
battlefield2142.test,193050,32,33.839496,33.315264,86.44657
battlefield2142.test,193050,8,68.134777,33.315264,86.44657
battlefield2142.test,193050,4,133.423656,33.315264,86.44657
battlefield2142.test,193050,1,331.935327,33.315264,86.44657
battlefield2142.test,131072,32,21.788289,20.729568,79.120484
battlefield2142.test,131072,8,39.01684,20.729568,79.120484
battlefield2142.test,131072,4,76.21536,20.729568,79.120484
battlefield2142.test,131072,1,184.218414,20.729568,79.120484
battlefield2142.test,65536,32,8.65461,10.376864,26.010413
battlefield2142.test,65536,8,18.01343,10.376864,26.010413
battlefield2142.test,65536,4,28.477351,10.376864,26.010413
battlefield2142.test,65536,1,91.942042,10.376864,26.010413
battlefield2142.test,16384,32,5.664069,3.117632,6.776643
battlefield2142.test,16384,8,5.213104,3.117632,6.776643
battlefield2142.test,16384,4,7.891591,3.117632,6.776643
battlefield2142.test,16384,1,18.907959,3.117632,6.776643
battlefield2142.test,4096,32,4.733293,1.37168,2.800641
battlefield2142.test,4096,8,1.213424,1.37168,2.800641
battlefield2142.test,4096,4,2.378939,1.37168,2.800641
battlefield2142.test,4096,1,5.346291,1.37168,2.800641
battlefield2142.test,256,32,0.02228,0.724576,1.075907
battlefield2142.test,256,8,0.031988,0.724576,1.075907
battlefield2142.test,256,4,0.056641,0.724576,1.075907
battlefield2142.test,256,1,0.148413,0.724576,1.075907
bgp.test,64530,32,6.785653,6.178912,21.768384
bgp.test,64530,8,12.504339,6.178912,21.768384
bgp.test,64530,4,18.653596,6.178912,21.768384
bgp.test,64530,1,65.968646,6.178912,21.768384
bgp.test,16384,32,1.414289,1.697312,5.691168
bgp.test,16384,8,3.040756,1.697312,5.691168
bgp.test,16384,4,5.40405,1.697312,5.691168
bgp.test,16384,1,12.42891,1.697312,5.691168
bgp.test,4096,32,4.678817,0.69728,2.008779
bgp.test,4096,8,0.755404,0.69728,2.008779
bgp.test,4096,4,1.500334,0.69728,2.008779
bgp.test,4096,1,4.679445,0.69728,2.008779
bgp.test,256,32,0.027587,0.463008,0.833418
bgp.test,256,8,0.045258,0.463008,0.833418
bgp.test,256,4,0.075638,0.463008,0.833418
bgp.test,256,1,0.118172,0.463008,0.833418
biff.test,3910,32,2.543275,0.56864,1.840112
biff.test,3910,8,0.52842,0.56864,1.840112
biff.test,3910,4,0.909335,0.56864,1.840112
biff.test,3910,1,1.235215,0.56864,1.840112
biff.test,256,32,5.116793,0.19296,0.545601
biff.test,256,8,0.018508,0.19296,0.545601
biff.test,256,4,0.029612,0.19296,0.545601
biff.test,256,1,0.106299,0.19296,0.545601
counterstrike-source.test,1472460,32,2690.868213,1374.871968,1727.032344
counterstrike-source.test,1472460,8,7403.232089,1374.871968,1727.032344
counterstrike-source.test,1472460,4,13299.966615,1374.871968,1727.032344
counterstrike-source.test,1472460,1,23958.407551,1374.871968,1727.032344
counterstrike-source.test,131072,32,13.293686,47.993344,89.253707
counterstrike-source.test,131072,8,23.552134,47.993344,89.253707
counterstrike-source.test,131072,4,37.859429,47.993344,89.253707
counterstrike-source.test,131072,1,92.815829,47.993344,89.253707
counterstrike-source.test,65536,32,8.602159,23.79392,41.406955
counterstrike-source.test,65536,8,10.46441,23.79392,41.406955
counterstrike-source.test,65536,4,21.293463,23.79392,41.406955
counterstrike-source.test,65536,1,52.206254,23.79392,41.406955
counterstrike-source.test,16384,32,5.236081,7.741504,11.353282
counterstrike-source.test,16384,8,2.361968,7.741504,11.353282
counterstrike-source.test,16384,4,4.388067,7.741504,11.353282
counterstrike-source.test,16384,1,13.245286,7.741504,11.353282
counterstrike-source.test,4096,32,0.282439,2.614496,3.881437
counterstrike-source.test,4096,8,0.613557,2.614496,3.881437
counterstrike-source.test,4096,4,1.147774,2.614496,3.881437
counterstrike-source.test,4096,1,3.752649,2.614496,3.881437
counterstrike-source.test,256,32,4.44408,2.060128,2.452971
counterstrike-source.test,256,8,0.03499,2.060128,2.452971
counterstrike-source.test,256,4,0.056223,2.060128,2.452971
counterstrike-source.test,256,1,0.086953,2.060128,2.452971
dayofdefeat-source.test,512320,32,205.579345,116.6744,248.453877
dayofdefeat-source.test,512320,8,478.755759,116.6744,248.453877
dayofdefeat-source.test,512320,4,714.209354,116.6744,248.453877
dayofdefeat-source.test,512320,1,1411.648035,116.6744,248.453877
dayofdefeat-source.test,131072,32,12.214846,19.537312,53.335659
dayofdefeat-source.test,131072,8,19.92513,19.537312,53.335659
dayofdefeat-source.test,131072,4,40.684305,19.537312,53.335659
dayofdefeat-source.test,131072,1,120.289209,19.537312,53.335659
dayofdefeat-source.test,65536,32,5.337352,10.23248,38.917317
dayofdefeat-source.test,65536,8,10.303076,10.23248,38.917317
dayofdefeat-source.test,65536,4,18.993724,10.23248,38.917317
dayofdefeat-source.test,65536,1,52.143746,10.23248,38.917317
dayofdefeat-source.test,16384,32,1.064732,3.05408,6.838802
dayofdefeat-source.test,16384,8,2.363573,3.05408,6.838802
dayofdefeat-source.test,16384,4,4.38639,3.05408,6.838802
dayofdefeat-source.test,16384,1,9.532307,3.05408,6.838802
dayofdefeat-source.test,4096,32,4.607998,1.188352,2.560456
