Fsm,No_of_testcases,No_of_threads,Time taken
halflife2-deathmatch.test,131072,4,36.98166
halflife2-deathmatch.test,256,4,0.056571
halflife2-deathmatch.test,1088400,8,3329.696661
halflife2-deathmatch.test,131072,1,92.718603
halflife2-deathmatch.test,131072,8,19.713788
halflife2-deathmatch.test,65536,1,52.098694
halflife2-deathmatch.test,256,32,4.434022
halflife2-deathmatch.test,1088400,1,10344.762983
halflife2-deathmatch.test,65536,4,16.248187
halflife2-deathmatch.test,256,8,0.034432
halflife2-deathmatch.test,131072,32,13.807439
halflife2-deathmatch.test,1088400,4,6055.216863
halflife2-deathmatch.test,4096,4,1.146726
halflife2-deathmatch.test,65536,8,10.2178
halflife2-deathmatch.test,4096,32,0.286001
halflife2-deathmatch.test,4096,8,0.621449
halflife2-deathmatch.test,16384,8,2.364202
halflife2-deathmatch.test,16384,4,4.402872
halflife2-deathmatch.test,65536,32,9.246165
halflife2-deathmatch.test,256,1,0.079759
halflife2-deathmatch.test,16384,1,9.500458
halflife2-deathmatch.test,4096,1,2.196512
halflife2-deathmatch.test,16384,32,1.067107
halflife2-deathmatch.test,1088400,32,1162.854373
dhcp.test,4096,4,1.276561
dhcp.test,256,32,4.442822
dhcp.test,4096,1,4.128885
dhcp.test,65536,4,20.776077
dhcp.test,65536,32,9.036642
dhcp.test,131072,8,23.606889
dhcp.test,384400,32,108.270408
dhcp.test,256,4,0.050425
dhcp.test,131072,1,109.001229
dhcp.test,16384,4,4.640683
dhcp.test,16384,1,12.712605
dhcp.test,4096,8,0.693804
dhcp.test,16384,8,2.62953
dhcp.test,131072,4,39.980513
dhcp.test,256,1,0.068654
dhcp.test,384400,1,742.434437
dhcp.test,4096,32,0.30821
dhcp.test,16384,32,5.29384
dhcp.test,384400,8,207.117672
dhcp.test,256,8,0.032267
dhcp.test,65536,8,13.675021
dhcp.test,131072,32,14.870497
dhcp.test,384400,4,346.176135
dhcp.test,65536,1,57.429834
counterstrike-source.test,256,8,0.03499
counterstrike-source.test,131072,1,92.815829
counterstrike-source.test,131072,4,37.859429
counterstrike-source.test,16384,32,5.236081
counterstrike-source.test,4096,4,1.147774
counterstrike-source.test,1472460,4,13299.966615
counterstrike-source.test,131072,8,23.552134
counterstrike-source.test,1472460,8,7403.232089
counterstrike-source.test,4096,32,0.282439
counterstrike-source.test,16384,8,2.361968
counterstrike-source.test,4096,1,3.752649
counterstrike-source.test,256,4,0.056223
counterstrike-source.test,1472460,32,2690.868213
counterstrike-source.test,65536,1,52.206254
counterstrike-source.test,16384,1,13.245286
counterstrike-source.test,65536,8,10.46441
counterstrike-source.test,1472460,1,23958.407551
counterstrike-source.test,16384,4,4.388067
counterstrike-source.test,65536,4,21.293463
counterstrike-source.test,4096,8,0.613557
counterstrike-source.test,65536,32,8.602159
counterstrike-source.test,256,1,0.086953
counterstrike-source.test,131072,32,13.293686
counterstrike-source.test,256,32,4.44408
gopher.test,4096,32,0.234388
gopher.test,256,32,0.019276
gopher.test,65536,4,35.697275
gopher.test,283400,1,1081.609728
gopher.test,4096,1,2.439421
gopher.test,283400,4,523.67011
gopher.test,65536,8,18.439601
gopher.test,283400,8,223.839509
gopher.test,4096,8,0.559709
gopher.test,16384,1,9.108368
gopher.test,256,4,0.03946
gopher.test,4096,4,1.031488
gopher.test,16384,4,4.800829
gopher.test,131072,8,132.20666
gopher.test,16384,32,3.771715
gopher.test,256,1,0.056501
gopher.test,131072,4,273.432712
gopher.test,283400,32,157.889655
gopher.test,131072,1,402.824833
gopher.test,65536,1,74.8612
gopher.test,65536,32,11.434786
gopher.test,16384,8,2.574354
gopher.test,256,8,0.021441
gopher.test,131072,32,58.530111
finger.test,4096,32,5.123497
finger.test,256,32,0.018229
finger.test,256,1,0.050077
finger.test,11090,1,7.402771
finger.test,11090,8,3.63308
finger.test,11090,32,1.384536
finger.test,256,8,0.018089
finger.test,4096,8,0.469265
finger.test,4096,4,0.925818
finger.test,11090,4,5.362563
finger.test,256,4,0.029054
finger.test,4096,1,2.222144
mute.test,10,8,0.006635
mute.test,10,4,0.00461
mute.test,10,32,0.015156
mute.test,10,1,0.002724
skypetoskype.test,4096,32,1.592175
skypetoskype.test,131072,4,77.558614
skypetoskype.test,65536,32,9.831855
skypetoskype.test,4096,1,3.600535
skypetoskype.test,4096,8,2.238906
skypetoskype.test,256,32,4.43968
skypetoskype.test,256,4,0.078502
skypetoskype.test,256,1,0.128159
skypetoskype.test,256,8,0.045397
skypetoskype.test,16384,32,5.239433
skypetoskype.test,16384,4,4.468175
skypetoskype.test,4096,4,2.743161
skypetoskype.test,832620,32,707.075618
skypetoskype.test,832620,1,6086.952238
skypetoskype.test,832620,4,3328.704832
skypetoskype.test,65536,4,22.429571
skypetoskype.test,65536,1,54.020031
skypetoskype.test,832620,8,1747.779141
skypetoskype.test,131072,32,18.306553
skypetoskype.test,16384,1,7.611667
skypetoskype.test,131072,1,152.844727
skypetoskype.test,65536,8,12.592268
skypetoskype.test,16384,8,3.586357
skypetoskype.test,131072,8,39.302629
stun.test,961140,1,7097.795083
stun.test,65536,1,49.65173
stun.test,65536,4,16.101659
stun.test,65536,8,10.469648
stun.test,131072,32,12.881132
stun.test,256,1,0.075359
stun.test,131072,1,100.749246
stun.test,4096,1,2.018277
stun.test,131072,4,49.758238
stun.test,65536,32,7.77293
stun.test,4096,4,1.11013
stun.test,961140,8,2616.196608
stun.test,16384,4,4.250759
stun.test,961140,32,885.447733
stun.test,16384,8,2.275504
stun.test,4096,8,0.584224
stun.test,16384,32,1.079538
stun.test,16384,1,9.049561
stun.test,961140,4,3772.483838
stun.test,256,32,0.023746
stun.test,256,4,0.051823
stun.test,4096,32,4.57147
stun.test,131072,8,22.330466
stun.test,256,8,0.03101
liveforspeed.test,64260,8,9.697481
liveforspeed.test,256,8,0.045467
liveforspeed.test,64260,32,7.880416
liveforspeed.test,256,32,0.029682
liveforspeed.test,4096,32,4.615959
liveforspeed.test,16384,4,4.477742
liveforspeed.test,16384,8,2.450037
liveforspeed.test,64260,1,38.229514
liveforspeed.test,64260,4,16.845959
liveforspeed.test,4096,4,1.059005
liveforspeed.test,16384,32,3.961335
liveforspeed.test,16384,1,9.26174
liveforspeed.test,256,1,0.275525
liveforspeed.test,4096,8,0.60322
liveforspeed.test,4096,1,2.167598
liveforspeed.test,256,4,0.085066
ares.test,4096,8,0.599029
ares.test,16384,8,2.296455
ares.test,256,32,4.318155
ares.test,4096,1,3.647538
ares.test,16384,32,5.284132
ares.test,65020,4,20.874972
ares.test,16384,1,9.12974
ares.test,4096,32,0.293403
ares.test,65020,1,50.984867
ares.test,256,4,0.058947
ares.test,65020,8,11.288609
ares.test,65020,32,8.132545
ares.test,256,1,0.110699
ares.test,4096,4,1.197501
ares.test,256,8,0.033803
ares.test,16384,4,4.515457
telnet.test,256,32,0.027658
telnet.test,2540,1,1.763845
telnet.test,2540,32,4.522931
telnet.test,256,1,0.164756
telnet.test,2540,8,0.904237
telnet.test,256,4,0.060204
telnet.test,2540,4,1.289203
telnet.test,256,8,0.035549
soribada.test,65536,4,21.425042
soribada.test,131072,8,28.570937
soribada.test,65536,1,52.402853
soribada.test,65536,8,10.416218
soribada.test,16384,8,2.338709
soribada.test,4096,4,1.154898
soribada.test,386120,1,1343.90858
soribada.test,386120,32,206.707895
soribada.test,16384,32,1.153571
soribada.test,131072,32,15.748331
soribada.test,386120,8,376.133462
soribada.test,386120,4,667.628906
soribada.test,4096,1,2.257833
soribada.test,65536,32,6.238654
soribada.test,256,8,0.031289
soribada.test,16384,1,11.674971
soribada.test,256,4,0.059225
soribada.test,256,1,0.077454
soribada.test,131072,1,145.979526
soribada.test,131072,4,49.718847
soribada.test,4096,8,0.615024
soribada.test,16384,4,4.362155
soribada.test,256,32,4.445545
soribada.test,4096,32,0.295429
teamspeak.test,16384,32,1.154688
teamspeak.test,4096,4,1.167818
teamspeak.test,65536,32,8.490481
teamspeak.test,16384,1,11.626431
teamspeak.test,704350,4,1660.135572
teamspeak.test,131072,1,91.758003
teamspeak.test,65536,4,17.746565
teamspeak.test,4096,32,0.279994
teamspeak.test,65536,8,12.704503
teamspeak.test,131072,4,36.627073
teamspeak.test,4096,1,2.535593
teamspeak.test,256,32,0.023327
teamspeak.test,65536,1,51.905582
teamspeak.test,704350,1,3189.187117
teamspeak.test,131072,8,21.310292
teamspeak.test,4096,8,0.606573
teamspeak.test,16384,8,2.295966
teamspeak.test,131072,32,14.112925
teamspeak.test,704350,32,420.408382
teamspeak.test,256,1,0.154838
teamspeak.test,256,8,0.034432
teamspeak.test,16384,4,4.281279
teamspeak.test,256,4,0.055105
teamspeak.test,704350,8,940.046611
xboxlive.test,65536,8,10.752435
xboxlive.test,131072,8,22.71166
xboxlive.test,16384,4,4.60199
xboxlive.test,131072,32,15.821455
xboxlive.test,4096,8,0.602102
xboxlive.test,4096,4,1.117184
xboxlive.test,256,32,0.025841
xboxlive.test,256,8,0.034502
xboxlive.test,448310,32,174.486348
xboxlive.test,4096,32,0.289423
xboxlive.test,256,4,0.060483
xboxlive.test,16384,1,9.307137
xboxlive.test,448310,4,486.095073
xboxlive.test,131072,4,43.116529
xboxlive.test,65536,32,5.519148
xboxlive.test,16384,32,1.07011
xboxlive.test,131072,1,101.796659
xboxlive.test,16384,8,2.311751
xboxlive.test,4096,1,2.414348
xboxlive.test,65536,1,40.70693
xboxlive.test,448310,8,274.249015
xboxlive.test,256,1,0.16748
xboxlive.test,65536,4,17.583904
xboxlive.test,448310,1,1035.498528
whois.test,256,4,0.044001
whois.test,16384,8,2.098874
whois.test,16384,32,1.117114
whois.test,4096,8,0.401797
whois.test,16384,4,3.86244
whois.test,26790,4,7.51759
whois.test,26790,32,2.059135
whois.test,4096,1,2.330887
whois.test,26790,8,4.502187
whois.test,4096,4,0.780408
whois.test,26790,1,16.201532
whois.test,256,1,0.072495
whois.test,4096,32,0.189689
whois.test,16384,1,7.051818
whois.test,256,8,0.026261
whois.test,256,32,4.466009
ntp.test,4096,8,0.596935
ntp.test,65536,32,5.591713
ntp.test,4096,32,0.281042
ntp.test,131072,32,14.081636
ntp.test,16384,4,4.210809
ntp.test,4096,1,3.068971
ntp.test,256,1,0.081924
ntp.test,131072,4,42.415669
ntp.test,256,4,0.056572
ntp.test,65536,4,20.627522
