Fsm,No_of_testcases,No_of_threads,Total CPU,Total GPU,Execution GPU
bbara.test,256,1,0.32438135,1.02231584,1.36348002
bbara.test,256,4,0.10557979,1.02231584,1.36348002
bbara.test,256,8,0.05767704,1.02231584,1.36348002
bbara.test,256,32,0.14414473,1.02231584,1.36348002
bbara.test,2560,1,2.24610768,1.41862016,3.33360685
bbara.test,2560,4,0.68449353,1.41862016,3.33360685
bbara.test,2560,8,0.4874747,1.41862016,3.33360685
bbara.test,2560,32,0.45056293,1.41862016,3.33360685
bbsse.test,256,1,0.38625995,2.33517248,2.62973049
bbsse.test,256,4,0.23406132,2.33517248,2.62973049
bbsse.test,256,8,0.129543,2.33517248,2.62973049
bbsse.test,256,32,0.61042462,2.33517248,2.62973049
bbsse.test,4096,1,6.28534896,2.96906496,4.55196591
bbsse.test,4096,4,2.55862716,2.96906496,4.55196591
bbsse.test,4096,8,1.3521587,2.96906496,4.55196591
bbsse.test,4096,32,0.75595296,2.96906496,4.55196591
bbsse.test,16384,1,17.65540398,10.03733184,15.6976941
bbsse.test,16384,4,6.35858453,10.03733184,15.6976941
bbsse.test,16384,8,3.91697371,10.03733184,15.6976941
bbsse.test,16384,32,2.0862542,10.03733184,15.6976941
bbsse.test,65536,1,404.15167496,65.16792896,89.9546095
bbsse.test,65536,4,170.71067136,65.16792896,89.9546095
bbsse.test,65536,8,97.72667069,65.16792896,89.9546095
bbsse.test,65536,32,51.08620456,65.16792896,89.9546095
bbsse.test,131072,1,829.61042575,122.32953344,158.9691676
bbsse.test,131072,4,325.11944488,122.32953344,158.9691676
bbsse.test,131072,8,181.92611804,122.32953344,158.9691676
bbsse.test,131072,32,113.82763247,122.32953344,158.9691676
bbsse.test,222464,1,1355.97847588,171.5921536,233.5418921
bbsse.test,222464,4,403.97496878,171.5921536,233.5418921
bbsse.test,222464,8,297.73212846,171.5921536,233.5418921
bbsse.test,222464,32,170.66889792,171.5921536,233.5418921
bbtas.test,96,1,0.03905106,0.17641344,0.4436283
bbtas.test,96,4,0.01752598,0.17641344,0.4436283
bbtas.test,96,8,0.01321744,0.17641344,0.4436283
bbtas.test,96,32,0.27719374,0.17641344,0.4436283
beecount.test,256,1,0.08157324,0.41589472,0.83866813
beecount.test,256,4,0.04630195,0.41589472,0.83866813
beecount.test,256,8,0.02630569,0.41589472,0.83866813
beecount.test,256,32,0.5928003,0.41589472,0.83866813
beecount.test,363,1,0.14379067,0.51973664,0.89893065
beecount.test,363,4,0.06279849,0.51973664,0.89893065
beecount.test,363,8,0.03513856,0.51973664,0.89893065
beecount.test,363,32,0.58313565,0.51973664,0.89893065
cse.test,256,1,0.17359613,1.33284,1.6361997
cse.test,256,4,0.11005101,1.33284,1.6361997
cse.test,256,8,0.06941944,1.33284,1.6361997
cse.test,256,32,0.59700195,1.33284,1.6361997
cse.test,4096,1,7.53998267,2.88751104,4.30831613
cse.test,4096,4,2.67995534,2.88751104,4.30831613
cse.test,4096,8,1.58954218,2.88751104,4.30831613
cse.test,4096,32,0.98163458,2.88751104,4.30831613
cse.test,16384,1,35.16433612,9.69883936,15.45231436
cse.test,16384,4,14.56999759,9.69883936,15.45231436
cse.test,16384,8,11.45317459,9.69883936,15.45231436
cse.test,16384,32,6.16410942,9.69883936,15.45231436
cse.test,65536,1,369.45548848,55.97707136,75.97623404
cse.test,65536,4,153.89945857,55.97707136,75.97623404
cse.test,65536,8,113.28281454,55.97707136,75.97623404
cse.test,65536,32,42.78096117,55.97707136,75.97623404
cse.test,131072,1,661.61203773,88.62626016,126.43431956
cse.test,131072,4,270.41230969,88.62626016,126.43431956
cse.test,131072,8,163.23476527,88.62626016,126.43431956
cse.test,131072,32,93.15789957,88.62626016,126.43431956
cse.test,456624,1,3740.71825047,492.70303392,616.75262021
cse.test,456624,4,1345.23203548,492.70303392,616.75262021
cse.test,456624,8,887.98869361,492.70303392,616.75262021
cse.test,456624,32,418.30907389,492.70303392,616.75262021
dk14.test,256,1,0.08525315,0.45781344,0.80146155
dk14.test,256,4,0.06151763,0.45781344,0.80146155
dk14.test,256,8,0.03565181,0.45781344,0.80146155
dk14.test,256,32,0.02407698,0.45781344,0.80146155
dk14.test,448,1,0.31827295,0.67693792,1.09900429
dk14.test,448,4,0.07664372,0.67693792,1.09900429
dk14.test,448,8,0.04548905,0.67693792,1.09900429
dk14.test,448,32,0.1999458,0.67693792,1.09900429
dk15.test,256,1,0.14009888,0.33003168,0.66552388
dk15.test,256,4,0.03643547,0.33003168,0.66552388
dk15.test,256,8,0.02163818,0.33003168,0.66552388
dk15.test,256,32,0.74992848,0.33003168,0.66552388
donfile.test,256,1,0.09035156,0.31562432,0.66611608
donfile.test,256,4,0.0660587,0.31562432,0.66611608
donfile.test,256,8,0.03617152,0.31562432,0.66611608
donfile.test,256,32,0.02546054,0.31562432,0.66611608
donfile.test,384,1,0.26043316,0.39056896,0.79369033
donfile.test,384,4,0.10402374,0.39056896,0.79369033
donfile.test,384,8,0.05490089,0.39056896,0.79369033
donfile.test,384,32,0.05249479,0.39056896,0.79369033
ex2.test,80,1,0.03218218,0.19212416,0.46825512
ex2.test,80,4,0.01193933,0.19212416,0.46825512
ex2.test,80,8,0.00930147,0.19212416,0.46825512
ex2.test,80,32,0.11930146,0.19212416,0.46825512
ex3.test,80,1,0.01603839,0.19367552,0.44549375
ex3.test,80,4,0.011329,0.19367552,0.44549375
ex3.test,80,8,0.00929448,0.19367552,0.44549375
ex3.test,80,32,1.62104275,0.19367552,0.44549375
ex4.test,256,1,0.5295562,1.27305632,1.60746209
ex4.test,256,4,0.16945104,1.27305632,1.60746209
ex4.test,256,8,0.09235396,1.27305632,1.60746209
ex4.test,256,32,1.01935238,1.27305632,1.60746209
ex4.test,4096,1,4.54567236,1.63598816,3.05242796
ex4.test,4096,4,1.94842089,1.63598816,3.05242796
ex4.test,4096,8,1.02378173,1.63598816,3.05242796
ex4.test,4096,32,0.57014094,1.63598816,3.05242796
ex4.test,13312,1,25.21496136,5.729608,9.60252212
ex4.test,13312,4,9.28628773,5.729608,9.60252212
ex4.test,13312,8,5.80587795,5.729608,9.60252212
ex4.test,13312,32,4.14910514,5.729608,9.60252212
ex5.test,68,1,0.01389705,0.19279008,0.44571444
ex5.test,68,4,0.01127931,0.19279008,0.44571444
ex5.test,68,8,0.00918137,0.19279008,0.44571444
ex5.test,68,32,0.45721946,0.19279008,0.44571444
ex6.test,256,1,0.0546662,0.53694464,0.889025
ex6.test,256,4,0.0328799,0.53694464,0.889025
ex6.test,256,8,0.01858265,0.53694464,0.889025
ex6.test,256,32,1.04142574,0.53694464,0.889025
ex6.test,4096,1,2.9372471,1.16671488,2.6458449
ex6.test,4096,4,1.2407716,1.16671488,2.6458449
ex6.test,4096,8,0.75465395,1.16671488,2.6458449
ex6.test,4096,32,0.4380543,1.16671488,2.6458449
ex6.test,7168,1,5.38099641,1.62372832,4.0156518
ex6.test,7168,4,2.18908145,1.62372832,4.0156518
ex6.test,7168,8,1.2966754,1.62372832,4.0156518
ex6.test,7168,32,0.79983637,1.62372832,4.0156518
ex7.test,40,1,0.0088517,0.18449728,0.42684758
ex7.test,40,4,0.00771257,0.18449728,0.42684758
ex7.test,40,8,0.00671593,0.18449728,0.42684758
ex7.test,40,32,0.83520462,0.18449728,0.42684758
keyb.test,256,1,3.45423186,58.00212672,58.16396975
keyb.test,256,4,1.55686834,58.00212672,58.16396975
keyb.test,256,8,0.95220209,58.00212672,58.16396975
keyb.test,256,32,0.53916841,58.00212672,58.16396975
keyb.test,4096,1,55.00523559,64.43577088,66.67390871
keyb.test,4096,4,15.85486951,64.43577088,66.67390871
keyb.test,4096,8,8.47989897,64.43577088,66.67390871
keyb.test,4096,32,4.4147493,64.43577088,66.67390871
keyb.test,16384,1,212.52768041,87.80190272,92.56438758
keyb.test,16384,4,57.91783922,87.80190272,92.56438758
keyb.test,16384,8,31.9810865,87.80190272,92.56438758
keyb.test,16384,32,16.28563317,87.80190272,92.56438758
keyb.test,65536,1,690.66590343,128.39723776,147.4093061
keyb.test,65536,4,212.46318976,128.39723776,147.4093061
keyb.test,65536,8,121.83661417,128.39723776,147.4093061
keyb.test,65536,32,61.72454824,128.39723776,147.4093061
keyb.test,131072,1,1394.01139113,218.86861664,255.60772044
keyb.test,131072,4,415.60499881,218.86861664,255.60772044
keyb.test,131072,8,241.88701744,218.86861664,255.60772044
keyb.test,131072,32,137.83425899,218.86861664,255.60772044
keyb.test,888984,1,10601.55028107,1714.74828352,1963.16171608
keyb.test,888984,4,2934.35064316,1714.74828352,1963.16171608
keyb.test,888984,8,1819.2571691,1714.74828352,1963.16171608
keyb.test,888984,32,925.6380048,1714.74828352,1963.16171608
lion.test,57,1,0.01040564,0.15929824,0.42355242
lion.test,57,4,0.00826987,0.15929824,0.42355242
lion.test,57,8,0.00703161,0.15929824,0.42355242
lion.test,57,32,0.46805676,0.15929824,0.42355242
lion9.test,71,1,0.04147597,0.18726528,0.45423162
lion9.test,71,4,0.01540698,0.18726528,0.45423162
lion9.test,71,8,0.01181719,0.18726528,0.45423162
lion9.test,71,32,0.30075823,0.18726528,0.45423162
modulo12.test,48,1,0.02562542,0.1636672,0.43653732
modulo12.test,48,4,0.00918554,0.1636672,0.43653732
modulo12.test,48,8,0.00828661,0.1636672,0.43653732
modulo12.test,48,32,0.04903065,0.1636672,0.43653732
planet.test,256,1,0.16113079,1.02132416,1.22526834
planet.test,256,4,0.10145285,1.02132416,1.22526834
planet.test,256,8,0.06561657,1.02132416,1.22526834
planet.test,256,32,0.18541187,1.02132416,1.22526834
planet.test,4096,1,3.24260512,1.39064928,2.85132208
planet.test,4096,4,1.31440523,1.39064928,2.85132208
planet.test,4096,8,0.76946305,1.39064928,2.85132208
planet.test,4096,32,0.40623458,1.39064928,2.85132208
planet.test,16384,1,12.11587741,2.91305344,7.93612238
planet.test,16384,4,3.47571579,2.91305344,7.93612238
planet.test,16384,8,2.2962452,2.91305344,7.93612238
planet.test,16384,32,1.31206555,2.91305344,7.93612238
planet.test,65536,1,1524.97903436,327.8016832,349.20587027
planet.test,65536,4,586.35872703,327.8016832,349.20587027
planet.test,65536,8,387.12430293,327.8016832,349.20587027
planet.test,65536,32,203.68007411,327.8016832,349.20587027
planet.test,131072,1,5234.9255124,1003.64029152,1043.77657145
planet.test,131072,4,1952.55333413,1003.64029152,1043.77657145
planet.test,131072,8,1139.30542845,1003.64029152,1043.77657145
planet.test,131072,32,500.41510107,1003.64029152,1043.77657145
planet.test,801792,1,69155.16498585,14548.28656224,14784.11740755
planet.test,801792,4,24395.17606998,14548.28656224,14784.11740755
planet.test,801792,8,13010.27902848,14548.28656224,14784.11740755
planet.test,801792,32,5666.5813185,14548.28656224,14784.11740755
