Fsm,No_of_testcases,Execution Time,Total Time taken
100bao.test,3,0.0363776,0.26879319
aim.test,1024000,482.49973952,779.99573774
aim.test,131072,56.42370336,95.44438455
aim.test,65536,28.59836288,49.42742261
aim.test,16384,8.38100768,13.89896823
aim.test,4096,2.8113072,4.33568134
aim.test,256,2.10197216,2.403146
applejuice.test,7,0.0555472,0.31277995
ares.test,65023,9.54327136,29.86151933
ares.test,16384,1.91989664,7.01339573
ares.test,4096,0.8030928,2.22189414
ares.test,256,0.5476064,0.95527024
battlefield1942.test,8,0.06549504,0.34244511
bgp.test,64536,10.31475648,29.04168328
bgp.test,16384,1.78944704,6.47828436
bgp.test,4096,0.759456,2.33484984
bgp.test,256,0.49035168,0.84068367
biff.test,3919,2.24684032,3.80648029
biff.test,256,0.20643712,0.55909276
chikka.test,8,0.05801248,0.29099442
ciscovpn.test,3,0.03723712,0.27181529
cvs.test,4,0.04224768,0.27587587
dayofdefeat-source.test,512328,966.55042112,1120.44595225
dayofdefeat-source.test,131072,22.28857984,56.92752335
dayofdefeat-source.test,65536,11.43613568,30.12692807
dayofdefeat-source.test,16384,3.33897728,8.38981855
dayofdefeat-source.test,4096,1.30244736,2.65559029
dayofdefeat-source.test,256,0.94958208,1.25544662
dazhihui.test,19,0.12515136,0.47281843
dhcp.test,384400,80.46950016,183.30482674
dhcp.test,131072,18.9037872,55.87514909
dhcp.test,65536,9.622936,29.83477194
dhcp.test,16384,2.8061472,7.33728318
dhcp.test,4096,1.09655808,2.64171914
dhcp.test,256,0.73622016,1.14483681
doom3.test,10,0.07177888,0.30610945
fasttrack.test,2,0.040048,0.1678475
finger.test,11097,1.00657376,4.49997424
finger.test,4096,0.49727584,1.92447503
finger.test,256,0.26249504,0.60978772
freenet.test,6,0.04312576,0.27105052
ftp.test,49106,4.91823168,21.1888504
ftp.test,16384,1.70794176,7.09375571
ftp.test,4096,0.57390304,1.98947563
ftp.test,256,0.41037408,0.76190407
gkrellm.test,6,0.0513856,0.29347231
gopher.test,283403,50367.68992,50466.605058
gopher.test,131072,57.76894464,95.98838713
gopher.test,65536,19.66874112,40.7224003
gopher.test,16384,5.26933088,10.30725637
gopher.test,4096,1.71292288,3.12389301
gopher.test,256,1.25132832,1.57060742
guildwars.test,509,0.62155776,0.97884091
guildwars.test,256,0.43338976,0.75931641
halflife2-deathmatch.test,1088409,19659.355496,20038.34707575
halflife2-deathmatch.test,1024000,723.47531648,1000.85092467
halflife2-deathmatch.test,131072,41.26201472,79.87239701
halflife2-deathmatch.test,65536,21.25428192,41.13398785
halflife2-deathmatch.test,16384,6.24789056,11.10286858
halflife2-deathmatch.test,4096,2.08896608,3.48037318
halflife2-deathmatch.test,256,1.56621504,1.90800928
hotline.test,1024000,738.83057632,1055.71692774
hotline.test,131072,48.4989808,86.23398067
hotline.test,65536,24.7567776,45.21704031
hotline.test,16384,7.2462432,12.56257583
hotline.test,4096,5.77921408,7.4269618
hotline.test,256,1.92862432,2.2982026
ident.test,1689,0.6142576,1.51853782
ident.test,256,0.24842368,0.62976852
irc.test,440804,290.8177392,410.44429423
irc.test,131072,61.24471424,98.58008456
irc.test,65536,22.20455648,41.67028558
irc.test,16384,6.09545664,11.08306483
irc.test,4096,2.01712352,3.42646799
irc.test,256,1.56525312,1.92436805
kugoo.test,577347,214.64269184,372.94856817
kugoo.test,131072,29.20755168,66.28839192
kugoo.test,65536,14.79102016,33.34929606
kugoo.test,16384,4.51025152,9.20854325
kugoo.test,4096,1.64348768,3.12497512
kugoo.test,256,1.2183248,1.5734051
liveforspeed.test,64266,28.27637312,47.87959479
liveforspeed.test,16384,2.47155168,7.46148874
liveforspeed.test,4096,1.95659776,3.55223815
liveforspeed.test,256,0.51248064,0.82703104
lpd.test,824740,683.0216496,905.92527115
lpd.test,131072,61.317128,99.27196132
lpd.test,65536,25.97031264,46.05406416
lpd.test,16384,7.56770816,12.11521803
lpd.test,4096,2.50945216,3.93534055
lpd.test,256,1.91107488,2.24911798
mohaa.test,13,0.08595584,0.33886839
mute.test,12,0.07528,0.31875209
ncp.test,704611,780.81799072,970.5040615
ncp.test,131072,30.62814464,69.11903158
ncp.test,65536,15.46994016,35.14648448
ncp.test,16384,4.78908928,9.63274643
ncp.test,4096,1.83734592,3.28835961
ncp.test,256,1.17159552,1.49614879
pcanywhere.test,4,0.04046624,0.28031981
poco.test,192537,31.80749888,84.47054727
poco.test,131072,15.74532704,52.37430613
poco.test,65536,7.99263488,28.00555546
poco.test,16384,2.1948544,7.24101241
poco.test,4096,0.89137696,2.36025929
poco.test,256,0.61354944,0.95856941
qq.test,448824,740.47896224,875.40954117
qq.test,131072,25.33914592,63.812518
qq.test,65536,11.95983168,31.47254536
qq.test,16384,5.16497472,11.36080387
qq.test,4096,4.22025344,6.73982594
qq.test,256,0.98672096,1.3191417
quake-halflife.test,17,0.10665088,0.35570856
quake1.test,8,0.06260384,0.29686304
radmin.test,7,0.04892384,0.29492709
rlogin.test,16488,2.27449056,7.23568922
rlogin.test,16384,1.78025632,6.70149357
rlogin.test,4096,0.56448544,1.95000539
rlogin.test,256,0.31841952,0.73124582
