Fsm,No_of_testcases,Execution Time,Total Time taken
bbara.test,2560,13.25125056,19.21583394
bbara.test,256,2.56102272,3.25511648
bbsse.test,222464,171.571008,236.10152176
bbsse.test,131072,122.3180976,159.60893143
bbsse.test,65536,65.15238272,84.63917641
bbsse.test,16384,10.04115744,15.32022197
bbsse.test,4096,2.9679584,5.25436509
bbsse.test,256,2.33660608,2.68056356
bbtas.test,96,0.18533472,0.56206947
beecount.test,363,0.518552,0.88579904
beecount.test,256,0.41126752,0.76444079
cse.test,456624,492.7866992,614.49737298
cse.test,131072,88.58962976,126.25711587
cse.test,65536,56.01470464,75.95883899
cse.test,16384,9.69734944,14.75634789
cse.test,4096,2.88611296,5.40490028
cse.test,256,1.3338688,1.67575504
dk14.test,448,0.67564768,1.0993933
dk14.test,256,0.46380064,0.86173525
dk15.test,256,0.33103392,0.66373798
donfile.test,384,0.39100288,0.76531591
donfile.test,256,0.3137648,0.62028973
ex2.test,80,0.1975024,0.53170039
ex3.test,80,0.19424864,0.47706836
ex4.test,13312,5.76029728,9.65282173
ex4.test,4096,1.63637696,3.24078012
ex4.test,256,1.27293472,1.58420284
ex5.test,68,0.19325056,0.45860719
ex6.test,7168,1.62578656,4.08746116
ex6.test,4096,1.1677312,2.60862643
ex6.test,256,0.5350304,0.88896714
ex7.test,40,0.18456128,0.44441338
keyb.test,888984,1714.9704862857,1993.7390675357
keyb.test,131072,218.33089728,255.40063014
keyb.test,65536,129.5191504,149.00732426
keyb.test,16384,87.77295584,93.23974997
keyb.test,4096,64.4362784,66.1201407
keyb.test,256,58.00378432,58.41512185
lion.test,57,0.1664752,0.51419597
lion9.test,71,0.1885312,0.44430652
modulo12.test,48,0.16662208,0.41667234
planet.test,801792,14547.3978186667,14823.0622896667
planet.test,131072,1005.6740816,1051.92198963
planet.test,65536,331.82391648,352.88402807
planet.test,16384,2.91171552,8.30552988
planet.test,4096,1.39220512,2.79274832
planet.test,256,1.0186816,1.1971027
pma.test,511552,1204.6157891084,1359.1330153133
pma.test,131072,209.25136064,248.48174866
pma.test,65536,109.68795776,128.80696363
pma.test,16384,34.24449216,39.46047535
pma.test,4096,14.27694048,16.61473809
pma.test,256,11.00837952,11.21010102
s1.test,1310720,1824.87777792,2215.29066084
s1.test,1024000,1478.8416472381,1773.4872146032
s1.test,131072,88.52001312,126.18256412
s1.test,65536,47.52469184,67.34301769
s1.test,16384,13.02917408,18.2347089
s1.test,4096,5.51011456,6.89639034
s1.test,256,5.38716064,5.58813876
s27.test,1536,0.57351424,1.37823321
s27.test,256,0.28300128,0.58276899
s386.test,212992,190.22264448,249.29733226
s386.test,131072,143.851256,180.55386615
s386.test,65536,65.90402624,84.9608569
s386.test,16384,18.7683584,23.99041085
s386.test,4096,3.7582176,5.75017809
s386.test,256,3.0847152,3.42670107
