FSM,Testcases,No_of_threads,Total CPU,Execution GPU,Total GPU
aim.test,1344960,32,1522.567309,778.569728,1101.568453
aim.test,1344960,8,4525.373843,778.569728,1101.568453
aim.test,1344960,4,6741.690536,778.569728,1101.568453
aim.test,1344960,1,10477.214711,778.569728,1101.568453
battlefield2.test,1476790,32,1116.731183,1037.597664,1387.723797
battlefield2.test,1476790,8,2781.800161,1037.597664,1387.723797
battlefield2.test,1476790,4,4736.228757,1037.597664,1387.723797
battlefield2.test,1476790,1,11586.345,1037.597664,1387.723797
counterstrike-source.test,1472460,32,2690.868213,1374.871968,1727.032344
counterstrike-source.test,1472460,8,7403.232089,1374.871968,1727.032344
counterstrike-source.test,1472460,4,13299.966615,1374.871968,1727.032344
counterstrike-source.test,1472460,1,23958.407551,1374.871968,1727.032344
h323.test,2241830,32,4993.864134,4133.774528,4663.045104
h323.test,2241830,8,14569.762489,4133.774528,4663.045104
h323.test,2241830,4,23872.900458,4133.774528,4663.045104
h323.test,2241830,1,44156.140272,4133.774528,4663.045104
halflife2-deathmatch.test,1088400,32,1162.854373,731.273856,1136.754216
halflife2-deathmatch.test,1088400,8,3329.696661,731.273856,1136.754216
halflife2-deathmatch.test,1088400,4,6055.216863,731.273856,1136.754216
halflife2-deathmatch.test,1088400,1,10344.762983,731.273856,1136.754216
hotline.test,1216430,32,1552.850112,1177.028864,1478.566709
hotline.test,1216430,8,4226.454889,1177.028864,1478.566709
hotline.test,1216430,4,7808.428323,1177.028864,1478.566709
hotline.test,1216430,1,13559.345426,1177.028864,1478.566709
ntp.test,1374290,32,1441.532662,1262.651552,1621.014552
ntp.test,1374290,8,3763.51029,1262.651552,1621.014552
ntp.test,1374290,4,6540.031484,1262.651552,1621.014552
ntp.test,1374290,1,13240.973177,1262.651552,1621.014552
rtp.test,1536720,32,1640.765257,1039.338336,1409.800112
rtp.test,1536720,8,4612.070255,1039.338336,1409.800112
rtp.test,1536720,4,7819.05529,1039.338336,1409.800112
rtp.test,1536720,1,15216.846076,1039.338336,1409.800112
ssl.test,1475250,32,1038.711439,972.371904,1372.937957
ssl.test,1475250,8,2746.849713,972.371904,1372.937957
ssl.test,1475250,4,4467.200734,972.371904,1372.937957
ssl.test,1475250,1,10571.177036,972.371904,1372.937957
tsp.test,1162510,32,1036.10915,589.967424,874.108632
tsp.test,1162510,8,2391.401258,589.967424,874.108632
tsp.test,1162510,4,3932.565888,589.967424,874.108632
tsp.test,1162510,1,7720.225083,589.967424,874.108632
yahoo.test,2627400,32,3561.247234,3105.268384,3717.21807
yahoo.test,2627400,8,9575.171969,3105.268384,3717.21807
yahoo.test,2627400,4,16872.527501,3105.268384,3717.21807
yahoo.test,2627400,1,33704.154722,3105.268384,3717.21807
stun.test,961140,32,885.447733,495.347872,738.680397
stun.test,961140,8,2616.196608,495.347872,738.680397
stun.test,961140,4,3772.483838,495.347872,738.680397
stun.test,961140,1,7097.795083,495.347872,738.680397
runesofmagic.test,897140,32,925.552278,556.041696,888.803122
runesofmagic.test,897140,8,2854.87978,556.041696,888.803122
runesofmagic.test,897140,4,4328.726217,556.041696,888.803122
runesofmagic.test,897140,1,7273.334124,556.041696,888.803122
