FSM,Testcases,No_of_threads,Total CPU,Execution GPU,Total GPU
battlefield2142.test,193050,32,33.839496,33.315264,86.44657
battlefield2142.test,193050,8,68.134777,33.315264,86.44657
battlefield2142.test,193050,4,133.423656,33.315264,86.44657
battlefield2142.test,193050,1,331.935327,33.315264,86.44657
dayofdefeat-source.test,512320,32,205.579345,116.6744,248.453877
dayofdefeat-source.test,512320,8,478.755759,116.6744,248.453877
dayofdefeat-source.test,512320,4,714.209354,116.6744,248.453877
dayofdefeat-source.test,512320,1,1411.648035,116.6744,248.453877
dhcp.test,384400,32,108.270408,66.575232,168.144133
dhcp.test,384400,8,207.117672,66.575232,168.144133
dhcp.test,384400,4,346.176135,66.575232,168.144133
dhcp.test,384400,1,742.434437,66.575232,168.144133
gopher.test,283400,32,157.889655,96.356992,172.871058
gopher.test,283400,8,223.839509,96.356992,172.871058
gopher.test,283400,4,523.67011,96.356992,172.871058
gopher.test,283400,1,1081.609728,96.356992,172.871058
irc.test,440800,32,377.722854,222.193696,337.689333
irc.test,440800,8,745.503362,222.193696,337.689333
irc.test,440800,4,1320.975276,222.193696,337.689333
irc.test,440800,1,2822.201685,222.193696,337.689333
kugoo.test,577340,32,317.121715,1920.655232,2127.976883
kugoo.test,577340,8,685.101808,1920.655232,2127.976883
kugoo.test,577340,4,1207.571528,1920.655232,2127.976883
kugoo.test,577340,1,2141.104273,1920.655232,2127.976883
lpd.test,824740,32,851.036908,568.380448,776.06236
lpd.test,824740,8,1992.550823,568.380448,776.06236
lpd.test,824740,4,3369.821624,568.380448,776.06236
lpd.test,824740,1,8240.226954,568.380448,776.06236
ncp.test,704610,32,213.271793,482.588832,661.768353
ncp.test,704610,8,334.003294,482.588832,661.768353
ncp.test,704610,4,579.610614,482.588832,661.768353
ncp.test,704610,1,1668.071734,482.588832,661.768353
poco.test,192530,32,28.023378,24.015392,70.138869
poco.test,192530,8,46.345994,24.015392,70.138869
poco.test,192530,4,89.905107,24.015392,70.138869
poco.test,192530,1,241.192576,24.015392,70.138869
qq.test,448820,32,146.770615,728.646624,845.217796
qq.test,448820,8,243.999502,728.646624,845.217796
qq.test,448820,4,429.730732,728.646624,845.217796
qq.test,448820,1,1067.183589,728.646624,845.217796
runesofmagic.test,897140,32,925.552278,556.041696,888.803122
runesofmagic.test,897140,8,2854.87978,556.041696,888.803122
runesofmagic.test,897140,4,4328.726217,556.041696,888.803122
runesofmagic.test,897140,1,7273.334124,556.041696,888.803122
skypetoskype.test,832620,32,707.075618,3226.178496,3497.561684
skypetoskype.test,832620,8,1747.779141,3226.178496,3497.561684
skypetoskype.test,832620,4,3328.704832,3226.178496,3497.561684
skypetoskype.test,832620,1,6086.952238,3226.178496,3497.561684
soribada.test,386120,32,206.707895,118.537088,219.430486
soribada.test,386120,8,376.133462,118.537088,219.430486
soribada.test,386120,4,667.628906,118.537088,219.430486
soribada.test,386120,1,1343.90858,118.537088,219.430486
soulseek.test,587430,32,532.735867,311.690848,463.723888
soulseek.test,587430,8,1169.17681,311.690848,463.723888
soulseek.test,587430,4,2042.21896,311.690848,463.723888
soulseek.test,587430,1,4712.304781,311.690848,463.723888
stun.test,961140,32,885.447733,495.347872,738.680397
stun.test,961140,8,2616.196608,495.347872,738.680397
stun.test,961140,4,3772.483838,495.347872,738.680397
stun.test,961140,1,7097.795083,495.347872,738.680397
subspace.test,641100,32,443.892698,289.063008,451.79281
subspace.test,641100,8,970.064312,289.063008,451.79281
subspace.test,641100,4,1686.74138,289.063008,451.79281
subspace.test,641100,1,3547.710274,289.063008,451.79281
teamfortress2.test,768360,32,486.528788,279.354336,474.898865
teamfortress2.test,768360,8,1115.21056,279.354336,474.898865
teamfortress2.test,768360,4,1954.404978,279.354336,474.898865
teamfortress2.test,768360,1,3692.155945,279.354336,474.898865
teamspeak.test,704350,32,420.408382,1195.688032,1405.589031
teamspeak.test,704350,8,940.046611,1195.688032,1405.589031
teamspeak.test,704350,4,1660.135572,1195.688032,1405.589031
teamspeak.test,704350,1,3189.187117,1195.688032,1405.589031
tftp.test,150400,32,41.037699,28.21552,75.1993
tftp.test,150400,8,99.526044,28.21552,75.1993
tftp.test,150400,4,149.968658,28.21552,75.1993
tftp.test,150400,1,280.691047,28.21552,75.1993
xboxlive.test,448310,32,174.486348,95.713856,211.484909
xboxlive.test,448310,8,274.249015,95.713856,211.484909
xboxlive.test,448310,4,486.095073,95.713856,211.484909
xboxlive.test,448310,1,1035.498528,95.713856,211.484909
