FSM,Test-Cases,No_of_threads,Total CPU,Execution GPU,Total GPU
100bao.test,3,32,0.08279611,0.0363776,0.26879319
100bao.test,3,8,0.00754706,0.0363776,0.26879319
100bao.test,3,4,0.00475408,0.0363776,0.26879319
100bao.test,3,1,0.0026589,0.0363776,0.26879319
aim.test,1344963,32,1477.4282535857,120000,120000
aim.test,1344963,8,4459.3542879131,120000,120000
aim.test,1344963,4,6729.2487658182,120000,120000
aim.test,1344963,1,10484.4974958182,120000,120000
aim.test,1024000,32,401.10152639,482.49973952,779.99573774
aim.test,1024000,8,924.25072771,482.49973952,779.99573774
aim.test,1024000,4,1529.3609345067,482.49973952,779.99573774
aim.test,1024000,1,3874.5530664138,482.49973952,779.99573774
aim.test,131072,32,15.63431748,56.42370336,95.44438455
aim.test,131072,8,27.68912123,56.42370336,95.44438455
aim.test,131072,4,49.33716953,56.42370336,95.44438455
aim.test,131072,1,156.32198944,56.42370336,95.44438455
aim.test,65536,32,5.23999837,28.59836288,49.42742261
aim.test,65536,8,10.0435028,28.59836288,49.42742261
aim.test,65536,4,18.44320905,28.59836288,49.42742261
aim.test,65536,1,61.26883585,28.59836288,49.42742261
aim.test,16384,32,1.40526305,8.38100768,13.89896823
aim.test,16384,8,2.63557925,8.38100768,13.89896823
aim.test,16384,4,3.81938876,8.38100768,13.89896823
aim.test,16384,1,14.28962682,8.38100768,13.89896823
aim.test,4096,32,0.65869678,2.8113072,4.33568134
aim.test,4096,8,0.79573513,2.8113072,4.33568134
aim.test,4096,4,1.37040732,2.8113072,4.33568134
aim.test,4096,1,3.05240245,2.8113072,4.33568134
aim.test,256,32,0.0237879,2.10197216,2.403146
aim.test,256,8,0.02631613,2.10197216,2.403146
aim.test,256,4,0.05972324,2.10197216,2.403146
aim.test,256,1,0.12456809,2.10197216,2.403146
applejuice.test,7,32,0.01356668,0.0555472,0.31277995
applejuice.test,7,8,0.00646308,0.0555472,0.31277995
applejuice.test,7,4,0.00550622,0.0555472,0.31277995
applejuice.test,7,1,0.0037952,0.0555472,0.31277995
ares.test,65023,32,3.86248405,9.54327136,29.86151933
ares.test,65023,8,7.09741058,9.54327136,29.86151933
ares.test,65023,4,12.88235474,9.54327136,29.86151933
ares.test,65023,1,44.14641337,9.54327136,29.86151933
ares.test,16384,32,0.89028916,1.91989664,7.01339573
ares.test,16384,8,1.60844264,1.91989664,7.01339573
ares.test,16384,4,2.70528246,1.91989664,7.01339573
ares.test,16384,1,8.48731061,1.91989664,7.01339573
ares.test,4096,32,0.54034234,0.8030928,2.22189414
ares.test,4096,8,0.5027371,0.8030928,2.22189414
ares.test,4096,4,0.87348676,0.8030928,2.22189414
ares.test,4096,1,2.26472014,0.8030928,2.22189414
ares.test,256,32,0.02266913,0.5476064,0.95527024
ares.test,256,8,0.0263539,0.5476064,0.95527024
ares.test,256,4,0.0510198,0.5476064,0.95527024
ares.test,256,1,0.13887797,0.5476064,0.95527024
battlefield1942.test,8,32,0.33148907,0.06549504,0.34244511
battlefield1942.test,8,8,0.00478062,0.06549504,0.34244511
battlefield1942.test,8,4,0.00408649,0.06549504,0.34244511
battlefield1942.test,8,1,0.00238018,0.06549504,0.34244511
bgp.test,64536,32,4.19623384,10.31475648,29.04168328
bgp.test,64536,8,8.14315306,10.31475648,29.04168328
bgp.test,64536,4,14.24114553,10.31475648,29.04168328
bgp.test,64536,1,49.74631019,10.31475648,29.04168328
bgp.test,16384,32,1.24695044,1.78944704,6.47828436
bgp.test,16384,8,1.90726198,1.78944704,6.47828436
bgp.test,16384,4,3.91065628,1.78944704,6.47828436
bgp.test,16384,1,11.59807207,1.78944704,6.47828436
bgp.test,4096,32,0.73981891,0.759456,2.33484984
bgp.test,4096,8,0.65245585,0.759456,2.33484984
