FSM,No_of_testcases,No_of_threads,Total CPU,Total GPU,Execution GPU
bbsse.test,222464,32,170.66889792,171.5921536,233.5418921
bbsse.test,222464,8,297.73212846,171.5921536,233.5418921
bbsse.test,222464,4,403.97496878,171.5921536,233.5418921
bbsse.test,222464,1,1355.97847588,171.5921536,233.5418921
cse.test,456624,32,418.30907389,492.70303392,616.75262021
cse.test,456624,8,887.98869361,492.70303392,616.75262021
cse.test,456624,4,1345.23203548,492.70303392,616.75262021
cse.test,456624,1,3740.71825047,492.70303392,616.75262021
keyb.test,888984,32,925.6380048,1714.74828352,1963.16171608
keyb.test,888984,8,1819.2571691,1714.74828352,1963.16171608
keyb.test,888984,4,2934.35064316,1714.74828352,1963.16171608
keyb.test,888984,1,10601.55028107,1714.74828352,1963.16171608
planet.test,801792,32,5666.5813185,14548.28656224,14784.11740755
planet.test,801792,8,13010.27902848,14548.28656224,14784.11740755
planet.test,801792,4,24395.17606998,14548.28656224,14784.11740755
planet.test,801792,1,69155.16498585,14548.28656224,14784.11740755
pma.test,511552,32,853.26315773,1204.9399232,1349.48893628
pma.test,511552,8,1784.50906695,1204.9399232,1349.48893628
pma.test,511552,4,2779.79151804,1204.9399232,1349.48893628
pma.test,511552,1,8418.39004803,1204.9399232,1349.48893628
s1.test,1310720,32,1484.93255401,1824.2999312,2191.73138998
s1.test,1310720,8,3117.27657294,1824.2999312,2191.73138998
s1.test,1310720,4,5085.55341051,1824.2999312,2191.73138998
s1.test,1310720,1,15858.6016211,1824.2999312,2191.73138998
s386.test,212992,32,122.7823456,190.20810048,251.13120488
s386.test,212992,8,214.8689658,190.20810048,251.13120488
s386.test,212992,4,293.15973106,190.20810048,251.13120488
s386.test,212992,1,1028.95280053,190.20810048,251.13120488
