FSM,Test-Cases,Cores,Total CPU,Execution GPU,Total GPU
aim.test,1024000,32,401.10152639,482.49973952,779.99573774
aim.test,1024000,8,924.25072771,482.49973952,779.99573774
aim.test,1024000,4,1529.3609345067,482.49973952,779.99573774
aim.test,1024000,1,3874.5530664138,482.49973952,779.99573774
halflife2-deathmatch.test,1024000,32,1011.7548548,723.47531648,1000.85092467
halflife2-deathmatch.test,1024000,8,2885.3586363104,723.47531648,1000.85092467
halflife2-deathmatch.test,1024000,4,4938.0502712857,723.47531648,1000.85092467
halflife2-deathmatch.test,1024000,1,0,723.47531648,1000.85092467
hotline.test,1024000,32,971.99911822,738.83057632,1055.71692774
hotline.test,1024000,8,2616.2571949778,738.83057632,1055.71692774
hotline.test,1024000,4,4600.08908076,738.83057632,1055.71692774
hotline.test,1024000,1,8416.5963271429,738.83057632,1055.71692774
irc.test,440804,32,352.73004085,290.8177392,410.44429423
irc.test,440804,8,782.69036299,290.8177392,410.44429423
irc.test,440804,4,1322.6007366932,290.8177392,410.44429423
irc.test,440804,1,2817.8040506,290.8177392,410.44429423
lpd.test,824740,32,807.91294287,683.0216496,905.92527115
lpd.test,824740,8,1823.1777612656,683.0216496,905.92527115
lpd.test,824740,4,3394.7625761429,683.0216496,905.92527115
lpd.test,824740,1,8269.5421630833,683.0216496,905.92527115
