FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
keysight-1000.test,36027,32,38.908529,61.730208,103.695549
keysight-1000.test,36027,16,91.628762,61.730208,103.695549
keysight-1000.test,36027,8,159.600273,61.730208,103.695549
keysight-1000.test,36027,1,658.229497,61.730208,103.695549
keysight-1000.test,32768,32,34.976805,50.81296,86.12386
keysight-1000.test,32768,16,84.799945,50.81296,86.12386
keysight-1000.test,32768,8,152.656566,50.81296,86.12386
keysight-1000.test,32768,1,583.453754,50.81296,86.12386
keysight-1000.test,16384,32,20.596521,19.177856,32.185591
keysight-1000.test,16384,16,37.770393,19.177856,32.185591
keysight-1000.test,16384,8,81.454959,19.177856,32.185591
keysight-1000.test,16384,1,293.498894,19.177856,32.185591
keysight-1000.test,8192,32,8.538676,7.695776,16.222771
keysight-1000.test,8192,16,21.177183,7.695776,16.222771
keysight-1000.test,8192,8,35.102939,7.695776,16.222771
keysight-1000.test,8192,1,146.79652,7.695776,16.222771
keysight-1000.test,4096,32,4.985841,5.394048,11.908665
keysight-1000.test,4096,16,8.863997,5.394048,11.908665
keysight-1000.test,4096,8,17.636641,5.394048,11.908665
keysight-1000.test,4096,1,73.266469,5.394048,11.908665
keysight-1000.test,2048,32,2.068215,3.871936,8.312947
keysight-1000.test,2048,16,4.104512,3.871936,8.312947
keysight-1000.test,2048,8,7.937061,3.871936,8.312947
keysight-1000.test,2048,1,33.510833,3.871936,8.312947
blank,blank,blank,blank,blank,blank
