FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
aim.test,1344963,32,38.502959,194.093568,242.573091
aim.test,1344963,16,41.666846,194.093568,242.573091
aim.test,1344963,8,94.201929,194.093568,242.573091
aim.test,1344963,1,507.887952,194.093568,242.573091
aim.test,1048576,32,29.924265,145.742624,180.181076
aim.test,1048576,16,35.076049,145.742624,180.181076
aim.test,1048576,8,65.663737,145.742624,180.181076
aim.test,1048576,1,397.33684,145.742624,180.181076
aim.test,524288,32,15.01591,73.861536,91.10935
aim.test,524288,16,16.768861,73.861536,91.10935
aim.test,524288,8,33.392382,73.861536,91.10935
aim.test,524288,1,198.963814,73.861536,91.10935
aim.test,262144,32,7.477504,37.68016,45.941213
aim.test,262144,16,8.120325,37.68016,45.941213
aim.test,262144,8,16.083577,37.68016,45.941213
aim.test,262144,1,98.894156,37.68016,45.941213
aim.test,131072,32,5.114489,20.555616,24.150054
aim.test,131072,16,7.070468,20.555616,24.150054
aim.test,131072,8,8.340815,20.555616,24.150054
aim.test,131072,1,48.676413,20.555616,24.150054
aim.test,65536,32,2.745258,11.910368,13.935533
aim.test,65536,16,3.734422,11.910368,13.935533
aim.test,65536,8,4.191954,11.910368,13.935533
aim.test,65536,1,24.293857,11.910368,13.935533
aim.test,32768,32,1.376854,6.958016,8.108103
aim.test,32768,16,2.417492,6.958016,8.108103
aim.test,32768,8,2.431599,6.958016,8.108103
aim.test,32768,1,15.839411,6.958016,8.108103
aim.test,16384,32,0.831602,3.453952,4.223731
aim.test,16384,16,1.054466,3.453952,4.223731
aim.test,16384,8,1.62102,3.453952,4.223731
aim.test,16384,1,7.975404,3.453952,4.223731
aim.test,8192,32,0.447404,2.552032,3.099144
aim.test,8192,16,0.878606,2.552032,3.099144
aim.test,8192,8,0.774192,2.552032,3.099144
aim.test,8192,1,3.983965,2.552032,3.099144
aim.test,4096,32,0.19367,2.00896,2.428946
aim.test,4096,16,0.465773,2.00896,2.428946
aim.test,4096,8,0.44056,2.00896,2.428946
aim.test,4096,1,1.986361,2.00896,2.428946
aim.test,2048,32,0.132349,2.006432,2.301136
aim.test,2048,16,0.26002,2.006432,2.301136
aim.test,2048,8,0.251709,2.006432,2.301136
aim.test,2048,1,1.431959,2.006432,2.301136
battlefield2.test,1476796,32,64.58776,190.33488,238.717983
battlefield2.test,1476796,16,116.535756,190.33488,238.717983
battlefield2.test,1476796,8,144.070814,190.33488,238.717983
battlefield2.test,1476796,1,884.580638,190.33488,238.717983
battlefield2.test,1048576,32,45.90706,132.839872,165.084498
battlefield2.test,1048576,16,47.974436,132.839872,165.084498
battlefield2.test,1048576,8,88.331197,132.839872,165.084498
battlefield2.test,1048576,1,629.115865,132.839872,165.084498
battlefield2.test,524288,32,24.659686,67.199232,84.821035
battlefield2.test,524288,16,38.715766,67.199232,84.821035
battlefield2.test,524288,8,51.654452,67.199232,84.821035
battlefield2.test,524288,1,313.949509,67.199232,84.821035
battlefield2.test,262144,32,12.333929,34.904928,44.131969
battlefield2.test,262144,16,12.691866,34.904928,44.131969
battlefield2.test,262144,8,25.43807,34.904928,44.131969
battlefield2.test,262144,1,156.98785,34.904928,44.131969
battlefield2.test,131072,32,6.176707,18.614784,22.043915
battlefield2.test,131072,16,12.123706,18.614784,22.043915
battlefield2.test,131072,8,12.826171,18.614784,22.043915
battlefield2.test,131072,1,77.471271,18.614784,22.043915
battlefield2.test,65536,32,3.212287,10.724384,12.595765
battlefield2.test,65536,16,6.144091,10.724384,12.595765
battlefield2.test,65536,8,6.366885,10.724384,12.595765
battlefield2.test,65536,1,38.594451,10.724384,12.595765
battlefield2.test,32768,32,2.51478,6.165696,7.242627
battlefield2.test,32768,16,2.747842,6.165696,7.242627
battlefield2.test,32768,8,3.179112,6.165696,7.242627
battlefield2.test,32768,1,19.276378,6.165696,7.242627
battlefield2.test,16384,32,1.072205,3.079968,3.726041
battlefield2.test,16384,16,2.55459,3.079968,3.726041
battlefield2.test,16384,8,2.023097,3.079968,3.726041
battlefield2.test,16384,1,12.611828,3.079968,3.726041
battlefield2.test,8192,32,0.741786,2.168352,2.694832
battlefield2.test,8192,16,1.346962,2.168352,2.694832
battlefield2.test,8192,8,1.124028,2.168352,2.694832
battlefield2.test,8192,1,6.314016,2.168352,2.694832
battlefield2.test,4096,32,0.377354,1.57296,1.945713
battlefield2.test,4096,16,0.840891,1.57296,1.945713
battlefield2.test,4096,8,0.704282,1.57296,1.945713
battlefield2.test,4096,1,3.134693,1.57296,1.945713
battlefield2.test,2048,32,0.180331,1.558528,1.975116
battlefield2.test,2048,16,0.213156,1.558528,1.975116
battlefield2.test,2048,8,0.408223,1.558528,1.975116
battlefield2.test,2048,1,2.075828,1.558528,1.975116
counterstrike-source.test,1472463,32,296.244216,482.764864,531.155282
counterstrike-source.test,1472463,16,298.351681,482.764864,531.155282
counterstrike-source.test,1472463,8,547.046865,482.764864,531.155282
counterstrike-source.test,1472463,1,3912.000976,482.764864,531.155282
counterstrike-source.test,1048576,32,211.209534,306.75872,339.668762
counterstrike-source.test,1048576,16,212.510192,306.75872,339.668762
counterstrike-source.test,1048576,8,397.525554,306.75872,339.668762
counterstrike-source.test,1048576,1,2786.169968,306.75872,339.668762
counterstrike-source.test,524288,32,107.263816,155.648704,172.368122
counterstrike-source.test,524288,16,107.036132,155.648704,172.368122
counterstrike-source.test,524288,8,195.409583,155.648704,172.368122
counterstrike-source.test,524288,1,1393.253957,155.648704,172.368122
counterstrike-source.test,262144,32,53.135091,80.084864,89.519339
counterstrike-source.test,262144,16,96.212455,80.084864,89.519339
counterstrike-source.test,262144,8,97.098044,80.084864,89.519339
counterstrike-source.test,262144,1,698.640018,80.084864,89.519339
counterstrike-source.test,131072,32,28.635341,43.116768,47.773433
counterstrike-source.test,131072,16,28.877341,43.116768,47.773433
counterstrike-source.test,131072,8,70.918468,43.116768,47.773433
counterstrike-source.test,131072,1,348.455931,43.116768,47.773433
