State,Transitions,Percentage Transitions
1,2,0.00784313725490196
2,2,0.00784313725490196
18,2,0.00784313725490196
10,2,0.00784313725490196
5,1,0.00392156862745098
6,1,0.00392156862745098
7,1,0.00392156862745098
8,1,0.00392156862745098
9,1,0.00392156862745098
11,2,0.00784313725490196
12,1,0.00392156862745098
13,1,0.00392156862745098
14,1,0.00392156862745098
15,1,0.00392156862745098
16,1,0.00392156862745098
20,1,0.00392156862745098
21,1,0.00392156862745098
22,1,0.00392156862745098
