Fsm,No_of_testcases,No_of_threads,Time taken
aim.test,1344963,32,40.625155
aim.test,1344963,16,48.351363
aim.test,1344963,8,86.027532
aim.test,1344963,1,507.218998
aim.test,1048576,32,35.163205
aim.test,1048576,16,57.431588
aim.test,1048576,8,66.986384
aim.test,1048576,1,395.970747
aim.test,524288,32,21.609078
aim.test,524288,16,18.251312
aim.test,524288,8,33.605741
aim.test,524288,1,199.216538
aim.test,262144,32,11.063861
aim.test,262144,16,20.280904
aim.test,262144,8,20.339571
aim.test,262144,1,111.877383
aim.test,131072,32,6.510339
aim.test,131072,16,11.996035
aim.test,131072,8,10.962451
aim.test,131072,1,49.536991
aim.test,65536,32,3.275982
aim.test,65536,16,3.806707
aim.test,65536,8,6.636962
aim.test,65536,1,29.517643
aim.test,32768,32,1.852614
aim.test,32768,16,4.045216
aim.test,32768,8,3.557723
aim.test,32768,1,14.701411
aim.test,16384,32,0.961368
aim.test,16384,16,1.841719
aim.test,16384,8,2.016741
aim.test,16384,1,7.357236
aim.test,8192,32,0.435182
aim.test,8192,16,0.952288
aim.test,8192,8,0.943977
aim.test,8192,1,3.689932
aim.test,4096,32,0.252268
aim.test,4096,16,0.288794
aim.test,4096,8,0.777615
aim.test,4096,1,3.813552
aim.test,256,32,2.053338
aim.test,256,16,0.038902
aim.test,256,8,0.038204
aim.test,256,1,0.27329
battlefield2.test,1476796,32,95.25226
battlefield2.test,1476796,16,126.389455
battlefield2.test,1476796,8,186.698021
battlefield2.test,1476796,1,884.105088
battlefield2.test,1048576,32,51.494716
battlefield2.test,1048576,16,102.054675
battlefield2.test,1048576,8,145.44562
battlefield2.test,1048576,1,628.626526
battlefield2.test,524288,32,27.738572
battlefield2.test,524288,16,26.406906
battlefield2.test,524288,8,52.241741
battlefield2.test,524288,1,315.653451
battlefield2.test,262144,32,15.98817
battlefield2.test,262144,16,24.848115
battlefield2.test,262144,8,32.332392
battlefield2.test,262144,1,158.353574
battlefield2.test,131072,32,9.797845
battlefield2.test,131072,16,9.410225
battlefield2.test,131072,8,15.462125
battlefield2.test,131072,1,77.337303
battlefield2.test,65536,32,8.457938
battlefield2.test,65536,16,8.970713
battlefield2.test,65536,8,9.336612
battlefield2.test,65536,1,50.469793
battlefield2.test,32768,32,2.715784
battlefield2.test,32768,16,3.017918
battlefield2.test,32768,8,5.247326
battlefield2.test,32768,1,25.282458
battlefield2.test,16384,32,1.560118
battlefield2.test,16384,16,2.835143
battlefield2.test,16384,8,2.604317
battlefield2.test,16384,1,12.682715
battlefield2.test,8192,32,4.685382
battlefield2.test,8192,16,1.5634
battlefield2.test,8192,8,1.468555
battlefield2.test,8192,1,8.725779
battlefield2.test,4096,32,0.392858
battlefield2.test,4096,16,0.850599
battlefield2.test,4096,8,0.883354
battlefield2.test,4096,1,3.179531
battlefield2.test,256,32,0.042673
battlefield2.test,256,16,0.057689
battlefield2.test,256,8,0.066769
battlefield2.test,256,1,0.19835
counterstrike-source.test,1472463,32,299.053883
counterstrike-source.test,1472463,16,300.245588
counterstrike-source.test,1472463,8,563.074606
counterstrike-source.test,1472463,1,3912.290674
counterstrike-source.test,1048576,32,213.837704
counterstrike-source.test,1048576,16,229.499785
counterstrike-source.test,1048576,8,390.533945
counterstrike-source.test,1048576,1,2788.590091
counterstrike-source.test,524288,32,152.564558
counterstrike-source.test,524288,16,119.950286
counterstrike-source.test,524288,8,194.732859
counterstrike-source.test,524288,1,1393.292925
counterstrike-source.test,262144,32,85.743069
counterstrike-source.test,262144,16,115.183329
counterstrike-source.test,262144,8,157.265445
counterstrike-source.test,262144,1,695.801764
counterstrike-source.test,131072,32,30.504712
counterstrike-source.test,131072,16,45.619306
counterstrike-source.test,131072,8,83.295896
counterstrike-source.test,131072,1,350.32658
counterstrike-source.test,65536,32,19.020616
counterstrike-source.test,65536,16,28.778861
counterstrike-source.test,65536,8,38.391137
counterstrike-source.test,65536,1,173.778334
counterstrike-source.test,32768,32,12.265902
counterstrike-source.test,32768,16,18.689707
counterstrike-source.test,32768,8,14.378675
counterstrike-source.test,32768,1,86.64123
counterstrike-source.test,16384,32,6.249691
counterstrike-source.test,16384,16,9.76921
counterstrike-source.test,16384,8,9.247844
counterstrike-source.test,16384,1,52.686282
counterstrike-source.test,8192,32,3.384655
counterstrike-source.test,8192,16,3.434592
counterstrike-source.test,8192,8,5.593042
counterstrike-source.test,8192,1,26.319324
counterstrike-source.test,4096,32,1.943338
counterstrike-source.test,4096,16,3.348617
counterstrike-source.test,4096,8,2.790025
counterstrike-source.test,4096,1,14.093582
counterstrike-source.test,256,32,0.125016
counterstrike-source.test,256,16,0.204636
counterstrike-source.test,256,8,0.255619
counterstrike-source.test,256,1,0.822592
dns.test,8533671,32,96.601246
dns.test,8533671,16,81.973447
dns.test,8533671,8,91.026153
dns.test,8533671,1,289.96584
dns.test,4194304,32,88.249538
dns.test,4194304,16,65.987302
dns.test,4194304,8,69.576034
dns.test,4194304,1,169.336907
dns.test,2097152,32,54.386012
dns.test,2097152,16,65.339523
dns.test,2097152,8,63.035454
dns.test,2097152,1,111.102562
dns.test,1048576,32,29.865174
dns.test,1048576,16,38.992331
dns.test,1048576,8,57.650121
dns.test,1048576,1,81.546436
dns.test,524288,32,18.259134
dns.test,524288,16,25.560707
dns.test,524288,8,47.668942
dns.test,524288,1,68.161396
dns.test,262144,32,15.114803
dns.test,262144,16,15.892697
dns.test,262144,8,24.712622
dns.test,262144,1,78.008619
dns.test,131072,32,9.667102
dns.test,131072,16,9.702721
dns.test,131072,8,14.875107
dns.test,131072,1,56.295406
dns.test,65536,32,5.079917
dns.test,65536,16,5.456222
dns.test,65536,8,10.014423
dns.test,65536,1,35.953531
dns.test,32768,32,2.953664
dns.test,32768,16,4.821573
dns.test,32768,8,5.371994
dns.test,32768,1,23.517286
