Fsm,No_of_testcases,No_of_threads,Time taken
100bao.test,3,16,0.011524
100bao.test,3,8,0.008451
100bao.test,3,32,0.014108
aim.test,256,1,0.121734
aim.test,256,8,0.045955
aim.test,256,32,4.436118
aim.test,4096,1,2.007382
aim.test,4096,8,0.518154
aim.test,4096,32,2.493339
aim.test,16384,1,7.953683
aim.test,16384,8,1.885928
aim.test,16384,32,5.123498
aim.test,65536,1,24.3359
aim.test,65536,8,7.057547
aim.test,65536,32,3.492841
aim.test,131072,1,48.62361
aim.test,131072,8,11.511406
aim.test,131072,32,10.204602
aim.test,256,16,0.028146
aim.test,4096,16,0.287886
aim.test,8192,1,3.973838
aim.test,8192,16,0.562503
aim.test,8192,8,1.025971
aim.test,8192,32,4.308518
aim.test,16384,16,1.040149
aim.test,32768,1,15.913023
aim.test,32768,16,3.482504
aim.test,32768,8,3.065201
aim.test,32768,32,3.821863
aim.test,65536,16,5.970466
aim.test,131072,16,11.46091
aim.test,262144,1,124.756784
aim.test,262144,16,17.353782
aim.test,262144,8,21.175575
aim.test,262144,32,14.483997
aim.test,524288,1,200.019804
aim.test,524288,16,33.076556
aim.test,524288,8,38.319902
aim.test,524288,32,18.916973
aim.test,1048576,1,397.979634
aim.test,1048576,16,56.727731
aim.test,1048576,8,69.338021
aim.test,1048576,32,31.872909
aim.test,1344963,1,514.856627
aim.test,1344963,16,47.405644
aim.test,1344963,8,114.127406
aim.test,1344963,32,41.309116
ares.test,256,1,0.100711
ares.test,256,8,0.031149
ares.test,256,32,4.44862
ares.test,4096,1,1.569197
ares.test,4096,8,0.395512
ares.test,4096,32,4.547306
ares.test,16384,1,6.257583
ares.test,16384,8,1.433566
ares.test,16384,32,0.753729
ares.test,256,16,0.033174
ares.test,4096,16,0.416325
ares.test,8192,1,3.121633
ares.test,8192,16,0.428966
ares.test,8192,8,0.784599
ares.test,8192,32,4.714227
ares.test,16384,16,0.859189
ares.test,32768,1,12.471516
ares.test,32768,16,2.809582
ares.test,32768,8,3.093976
ares.test,32768,32,5.65101
ares.test,65023,1,24.899311
ares.test,65023,16,4.972292
ares.test,65023,8,5.394413
ares.test,65023,32,6.708759
battlefield2142.test,256,1,0.194997
battlefield2142.test,256,8,0.038063
battlefield2142.test,256,32,0.028845
battlefield2142.test,4096,1,2.010945
battlefield2142.test,4096,8,0.521855
battlefield2142.test,4096,32,4.591027
battlefield2142.test,16384,1,8.013048
battlefield2142.test,16384,8,1.754277
battlefield2142.test,16384,32,0.992657
battlefield2142.test,65536,1,32.141309
battlefield2142.test,65536,8,6.709877
battlefield2142.test,65536,32,5.116095
battlefield2142.test,131072,1,64.11039
battlefield2142.test,131072,8,13.380153
battlefield2142.test,131072,32,10.17024
