Fsm,No_of_testcases,Execution Time,Total Time taken
100bao.test,3,1.91792,3.364332
aim.test,256,1.91456,2.085535
aim.test,4096,1.929632,2.319784
aim.test,16384,3.473632,4.262143
aim.test,65536,11.814464,14.025697
aim.test,131072,20.223904,23.894153
aim.test,8192,2.525536,3.061918
aim.test,32768,7.522752,8.790663
aim.test,262144,37.661088,51.552689
aim.test,524288,72.724288,96.408074
aim.test,1048576,143.849408,191.513954
aim.test,1344963,192.104544,237.235373
applejuice.test,7,1.512352,3.035937
ares.test,256,0.432608,0.849761
ares.test,4096,0.43024,0.879164
ares.test,16384,0.72768,1.587356
ares.test,8192,0.52464,1.108314
ares.test,32768,1.61264,2.822153
ares.test,65023,2.551168,4.729453
battlefield1942.test,8,1.380352,3.080776
battlefield2142.test,256,0.744704,1.075977
battlefield2142.test,4096,0.75456,1.22453
battlefield2142.test,16384,1.176768,2.175561
battlefield2142.test,65536,3.644384,5.705556
battlefield2142.test,131072,6.477568,10.301892
battlefield2142.test,8192,0.859104,1.444251
battlefield2142.test,32768,2.390048,3.818022
battlefield2142.test,193053,8.726112,13.979882
battlefield2.test,256,1.40768,1.622906
battlefield2.test,4096,1.517088,2.041815
battlefield2.test,8192,2.168256,2.739111
battlefield2.test,16384,2.963712,3.727787
battlefield2.test,32768,6.281824,7.484278
battlefield2.test,65536,10.667968,12.551135
battlefield2.test,131072,18.529376,22.272714
battlefield2.test,262144,34.55728,42.678496
battlefield2.test,524288,66.512768,83.579808
battlefield2.test,1048576,131.230688,169.020123
battlefield2.test,1476796,188.01952,262.455395
bgp.test,256,0.450176,0.801221
bgp.test,4096,0.4544,0.88119
bgp.test,8192,0.532992,1.10126
bgp.test,16384,0.765152,1.708671
bgp.test,32768,1.81568,3.110598
bgp.test,64536,2.778816,4.989821
biff.test,256,0.174272,0.610833
biff.test,3919,0.169088,0.547348
chikka.test,8,0.952224,1.928043
ciscovpn.test,3,1.917888,3.63371
counterstrike-source.test,256,4.344512,4.504144
counterstrike-source.test,4096,4.355456,4.735389
counterstrike-source.test,8192,5.002432,5.534584
counterstrike-source.test,16384,7.24448,8.103213
counterstrike-source.test,32768,16.2176,17.317254
counterstrike-source.test,65536,25.133184,27.352561
counterstrike-source.test,131072,43.110048,49.069058
counterstrike-source.test,262144,78.888608,87.150941
counterstrike-source.test,524288,155.498016,174.141386
counterstrike-source.test,1048576,304.605056,351.453433
counterstrike-source.test,1472463,476.463648,521.391341
cvs.test,4,2.36752,4.573078
dayofdefeat-source.test,256,1.593984,1.939916
dayofdefeat-source.test,4096,1.604448,2.182266
