State,Transitions,Percentage Transitions
0,128,1.0
10,128,1.0
1,128,1.0
11,128,1.0
12,128,1.0
13,128,1.0
14,128,1.0
15,128,1.0
16,128,1.0
17,128,1.0
18,128,1.0
19,128,1.0
20,128,1.0
21,128,1.0
22,128,1.0
2,128,1.0
23,128,1.0
24,128,1.0
25,128,1.0
26,128,1.0
27,128,1.0
28,128,1.0
29,128,1.0
30,128,1.0
31,128,1.0
32,128,1.0
33,128,1.0
3,128,1.0
34,128,1.0
35,128,1.0
36,128,1.0
37,128,1.0
38,128,1.0
39,128,1.0
40,128,1.0
41,128,1.0
42,128,1.0
43,128,1.0
44,128,1.0
4,128,1.0
45,128,1.0
46,128,1.0
47,128,1.0
5,128,1.0
6,128,1.0
7,128,1.0
8,128,1.0
9,128,1.0
