State,Transitions,Percentage Transitions
0,256,1.0
10,256,1.0
11,256,1.0
12,256,1.0
14,256,1.0
15,256,1.0
16,256,1.0
17,256,1.0
18,256,1.0
19,256,1.0
20,256,1.0
2,256,1.0
21,256,1.0
22,256,1.0
23,256,1.0
24,256,1.0
26,256,1.0
27,256,1.0
28,256,1.0
29,256,1.0
30,256,1.0
3,256,1.0
31,256,1.0
32,256,1.0
34,256,1.0
35,256,1.0
36,256,1.0
38,256,1.0
39,256,1.0
4,256,1.0
40,256,1.0
42,256,1.0
43,256,1.0
44,256,1.0
46,256,1.0
48,256,1.0
50,256,1.0
51,256,1.0
52,256,1.0
54,256,1.0
56,256,1.0
58,256,1.0
59,256,1.0
60,256,1.0
6,256,1.0
62,256,1.0
7,256,1.0
8,256,1.0
