Fsm,No_of_testcases,No_of_threads,Time taken
bbsse.test,65536,16,12.819537
bbsse.test,8192,8,2.70922
bbsse.test,256,16,0.10588
bbsse.test,256,32,1.562353
bbsse.test,131072,16,20.063003
bbsse.test,16384,8,4.990101
bbsse.test,8192,1,14.513682
bbsse.test,32768,32,8.322028
bbsse.test,32768,8,9.777942
bbsse.test,32768,16,8.796181
bbsse.test,65536,1,77.426856
bbsse.test,16384,32,4.407554
bbsse.test,16384,1,25.216953
bbsse.test,4096,32,0.698973
bbsse.test,8192,32,1.642112
bbsse.test,4096,1,6.34307
bbsse.test,32768,1,38.664574
bbsse.test,131072,8,26.531648
bbsse.test,65536,8,14.940202
bbsse.test,4096,16,0.884612
bbsse.test,221184,8,46.784061
bbsse.test,256,8,0.118871
bbsse.test,65536,32,8.890188
bbsse.test,256,1,0.399842
bbsse.test,16384,16,3.09223
bbsse.test,4096,8,1.549502
bbsse.test,131072,32,17.849309
bbsse.test,221184,1,263.852465
bbsse.test,131072,1,156.385824
bbsse.test,221184,16,38.67959
bbsse.test,8192,16,1.656709
bbsse.test,221184,32,25.544649
s386.test,32768,1,52.883663
s386.test,16384,32,3.009119
s386.test,131072,32,15.995856
s386.test,16384,1,28.005023
s386.test,65536,1,85.106342
s386.test,32768,16,6.229857
s386.test,131072,16,20.934205
s386.test,131072,1,171.496789
s386.test,32768,8,8.284872
s386.test,212992,32,23.406592
s386.test,8192,8,3.480828
s386.test,8192,1,13.963959
s386.test,256,8,0.117194
s386.test,65536,16,13.900054
s386.test,256,16,0.102597
s386.test,16384,8,5.786154
s386.test,32768,32,8.78773
s386.test,65536,8,16.950728
s386.test,212992,16,24.702849
s386.test,16384,16,5.491773
s386.test,131072,8,28.596231
s386.test,4096,1,9.539574
s386.test,256,32,0.076965
s386.test,256,1,0.868548
s386.test,4096,32,5.020552
s386.test,212992,1,281.276366
s386.test,212992,8,46.258434
s386.test,4096,16,0.971006
s386.test,8192,32,5.638928
s386.test,8192,16,2.92035
s386.test,65536,32,9.274036
s386.test,4096,8,1.732067
s1.test,16384,16,3.807546
s1.test,1048576,32,152.082822
s1.test,16384,32,3.169824
s1.test,131072,32,17.134132
s1.test,1310720,1,1950.854574
s1.test,8192,1,15.858688
s1.test,1048576,16,168.178622
s1.test,4096,8,1.82377
s1.test,262144,16,58.352737
s1.test,1310720,16,156.27254
s1.test,1310720,32,172.392225
s1.test,1048576,1,1663.843388
s1.test,32768,16,9.409947
s1.test,4096,32,5.099124
s1.test,256,16,0.113213
s1.test,32768,1,62.113699
s1.test,524288,1,822.30334
s1.test,1048576,8,256.02617
s1.test,256,1,1.048529
s1.test,32768,8,8.826492
s1.test,16384,1,30.372229
s1.test,262144,32,27.136265
s1.test,524288,16,63.707202
s1.test,262144,1,410.946721
s1.test,8192,8,3.186097
s1.test,4096,16,1.069552
s1.test,524288,8,159.776905
s1.test,65536,8,17.060519
s1.test,65536,32,12.336234
s1.test,524288,32,54.178245
s1.test,131072,8,33.658409
s1.test,131072,1,222.536429
s1.test,4096,1,10.037334
s1.test,8192,32,1.523242
s1.test,256,32,0.063137
s1.test,131072,16,26.603864
s1.test,262144,8,93.991641
s1.test,32768,32,5.586128
s1.test,1310720,8,317.764122
s1.test,256,8,0.140661
s1.test,65536,1,103.997196
s1.test,8192,16,3.224091
s1.test,16384,8,5.659183
s1.test,65536,16,14.617885
pma.test,4096,1,7.271333
pma.test,16384,32,6.100022
pma.test,32768,16,9.262303
pma.test,380736,8,125.364698
pma.test,8192,8,2.835423
pma.test,32768,32,5.438553
pma.test,65536,16,13.055741
pma.test,380736,1,516.471209
pma.test,256,32,0.069981
pma.test,16384,1,31.3762
pma.test,65536,1,91.215443
pma.test,262144,16,68.346979
pma.test,4096,8,1.701268
pma.test,8192,32,1.622277
pma.test,256,1,0.926586
pma.test,262144,8,61.635356
pma.test,262144,1,358.337185
pma.test,32768,8,10.333042
pma.test,16384,16,5.427937
pma.test,131072,32,16.367832
pma.test,131072,16,24.399668
pma.test,256,16,0.130534
pma.test,131072,8,29.993828
pma.test,4096,32,5.077263
pma.test,262144,32,26.741102
pma.test,32768,1,60.921855
pma.test,8192,16,3.249304
pma.test,65536,32,13.393564
pma.test,380736,16,79.334854
pma.test,131072,1,179.126967
pma.test,380736,32,40.375689
pma.test,16384,8,5.913336
pma.test,65536,8,17.303707
pma.test,4096,16,1.636455
pma.test,8192,1,14.54057
pma.test,256,8,0.132629
cse.test,4096,8,1.329851
cse.test,131072,8,24.21347
cse.test,8192,1,11.751592
cse.test,258864,32,21.535331
cse.test,131072,16,22.287593
cse.test,8192,8,2.606134
cse.test,258864,8,54.269178
cse.test,4096,1,8.946899
cse.test,258864,1,289.200859
cse.test,65536,1,95.173778
cse.test,32768,8,7.214971
cse.test,16384,16,3.088877
cse.test,4096,32,4.956647
cse.test,256,16,0.105042
cse.test,65536,32,10.240572
cse.test,131072,1,147.302944
cse.test,32768,32,8.477634
cse.test,65536,16,15.442991
cse.test,16384,1,23.548441
cse.test,256,32,0.063835
cse.test,8192,16,2.603759
cse.test,131072,32,15.344375
cse.test,8192,32,5.45762
cse.test,256,8,0.111677
cse.test,65536,8,14.414227
cse.test,32768,1,47.198779
cse.test,32768,16,5.370667
cse.test,256,1,0.646173
cse.test,258864,16,42.50753
cse.test,4096,16,1.417502
cse.test,16384,8,4.874165
cse.test,16384,32,6.481356
keyb.test,4096,32,5.132509
keyb.test,4096,1,7.613346
keyb.test,8192,16,3.185888
keyb.test,131072,32,17.189237
keyb.test,311296,8,100.885341
keyb.test,65536,1,123.183479
keyb.test,8192,32,1.535464
keyb.test,16384,1,44.253147
keyb.test,131072,16,29.066683
keyb.test,32768,32,5.588293
keyb.test,8192,8,4.016512
keyb.test,262144,1,386.39005
keyb.test,131072,1,195.263065
keyb.test,131072,8,43.986562
keyb.test,32768,8,14.656996
keyb.test,262144,32,30.881373
keyb.test,32768,1,60.62028
keyb.test,4096,8,2.184501
keyb.test,256,32,0.076337
keyb.test,16384,16,4.578596
keyb.test,262144,8,115.087808
keyb.test,311296,1,461.991669
keyb.test,311296,32,47.668044
keyb.test,4096,16,1.71796
keyb.test,65536,32,11.671903
keyb.test,256,16,0.097638
keyb.test,65536,8,24.788964
keyb.test,65536,16,14.59777
keyb.test,311296,16,73.462167
keyb.test,256,1,0.976314
keyb.test,32768,16,7.812534
keyb.test,256,8,0.127949
keyb.test,16384,8,6.617407
keyb.test,16384,32,2.947379
keyb.test,262144,16,72.123306
keyb.test,8192,1,18.044934
