Fsm,No_of_testcases,Execution Time,Total Time taken
cse.test,256,5.892128,6.253464
cse.test,4096,6.007808,6.513484
cse.test,8192,7.458208,8.456193
cse.test,16384,9.995904,11.218841
cse.test,32768,21.868096,23.956944
cse.test,65536,33.916448,37.679111
cse.test,131072,58.064288,68.726707
cse.test,258864,110.220608,128.297759
,.,10.427744,13.423523
,.,32.317696,35.920287
bbsse.test,256,5.943936,6.355502
bbsse.test,4096,6.055136,6.591426
bbsse.test,8192,7.289568,8.066268
bbsse.test,16384,9.86576,11.097806
bbsse.test,32768,21.278848,23.959387
bbsse.test,65536,33.279584,39.416138
bbsse.test,131072,58.005024,65.306153
bbsse.test,221184,96.323904,117.151554
keyb.test,256,6.92832,7.137237
keyb.test,4096,7.17088,7.656648
keyb.test,8192,8.69632,9.547326
keyb.test,16384,11.551008,13.047919
keyb.test,32768,25.222944,27.349072
keyb.test,65536,37.414624,43.225151
keyb.test,131072,67.669888,79.183997
keyb.test,262144,126.103488,148.795246
keyb.test,311296,155.021472,181.375233
planet.test,256,6.521824,7.175648
planet.test,4096,7.072384,9.138821
planet.test,8192,9.382016,12.496239
pma.test,256,9.872576,10.067016
pma.test,4096,10.22464,10.729741
pma.test,8192,12.379488,13.140389
pma.test,16384,16.98608,18.220236
pma.test,32768,32.790656,36.580784
pma.test,65536,53.640384,59.570912
pma.test,131072,97.795776,105.381035
pma.test,262144,180.3896,196.22569
pma.test,380736,266.462432,289.183188
s1.test,256,12.30656,12.488908
s1.test,4096,12.855104,13.362904
s1.test,8192,16.11328,16.960506
s1.test,16384,22.345216,23.590555
s1.test,32768,42.941664,45.188952
s1.test,65536,75.216992,81.272325
s1.test,131072,129.079392,139.810004
s1.test,262144,241.507424,256.851627
s1.test,524288,469.687776,523.687856
s1.test,1048576,929.153952,995.6093
s1.test,1310720,1170.153568,1246.880314
s386.test,256,18.442784,18.617635
s386.test,4096,19.017824,19.616297
s386.test,8192,26.972128,27.754781
s386.test,16384,50.650048,51.910353
s386.test,32768,115.569888,117.717827
s386.test,65536,205.132928,217.076922
s386.test,131072,388.217504,396.239996
s386.test,212992,572.394208,584.8603
