FSM,Testcases,Execution GPU,Total GPU,Chunks
aim.test,1048576,222.624768,486.844904,1
aim.test,1048576,114.94352,496.675098,2
aim.test,1048576,77.324896,486.97063,4
aim.test,1048576,48.476032,487.705711,8
aim.test,1048576,28.504416,571.446366,16
aim.test,1048576,15.792,566.009,32
aim.test,1048576,7.936256,554.50395,64
aim.test,524288,112.953056,239.772503,1
aim.test,524288,88.95472,262.605212,2
aim.test,524288,46.526048,263.461748,4
aim.test,524288,23.427008,282.918526,8
aim.test,524288,10.16432,280.060125,16
aim.test,524288,6.07504,276.297068,32
aim.test,524288,1.714016,360.857801,64
aim.test,262144,25.958624,89.60056,1
aim.test,262144,19.284384,100.675459,2
aim.test,262144,11.02672,97.568492,4
aim.test,262144,8.831456,93.919486,8
aim.test,262144,4.188256,136.926728,16
aim.test,262144,3.327168,119.952674,32
aim.test,262144,2.97552,140.270876,64
aim.test,131072,9.045888,43.329494,1
aim.test,131072,6.359008,68.63905,2
aim.test,131072,4.723296,40.749966,4
aim.test,131072,3.308224,53.677965,8
aim.test,131072,1.718432,61.437699,16
aim.test,131072,1.689088,61.897885,32
aim.test,131072,1.506592,93.468311,64
aim.test,65536,4.76768,20.942167,1
aim.test,65536,3.539232,29.30903,2
aim.test,65536,2.998816,19.536187,4
aim.test,65536,1.073024,26.659875,8
aim.test,65536,0.95904,26.380579,16
aim.test,65536,0.95744,41.270075,32
aim.test,65536,0.960864,69.848843,64
aim.test,16384,0.970624,4.901752,1
aim.test,16384,0.76192,5.531373,2
aim.test,16384,0.66304,6.082002,4
aim.test,16384,0.666016,9.143082,8
aim.test,16384,0.66736,14.741223,16
aim.test,16384,0.66544,27.356962,32
aim.test,16384,0.638848,48.811275,64
aim.test,4096,0.619808,2.0085,1
aim.test,4096,0.621408,2.555987,2
aim.test,4096,0.62112,3.833597,4
aim.test,4096,0.61984,6.566353,8
aim.test,4096,0.597376,12.089204,16
aim.test,4096,0.584256,18.236717,32
aim.test,4096,0.585472,33.616082,64
aim.test,256,0.26304,0.561246,1
aim.test,256,0.266528,0.944606,2
aim.test,256,0.261344,1.145329,4
aim.test,256,0.260992,1.901084,8
aim.test,256,0.252896,3.25978,16
aim.test,256,0.248768,5.995888,32
aim.test,256,0.246816,11.866271,64
