FSM,Testcases,Execution GPU,Total GPU,Chunks
counterstrike-source.test,4096,0.40176,2.914204,4
counterstrike-source.test,524288,2.275392,314.717884,64
counterstrike-source.test,1048576,185.89056,833.295385,8
counterstrike-source.test,131072,4.390848,39.007072,2
counterstrike-source.test,262144,2.342656,103.859247,32
counterstrike-source.test,256,0.257696,7.029122,32
counterstrike-source.test,262144,11.907808,98.597603,2
counterstrike-source.test,4096,0.387904,8.199734,16
counterstrike-source.test,65536,2.95744,18.919697,4
counterstrike-source.test,256,0.267104,1.902061,8
counterstrike-source.test,16384,0.444352,5.841468,4
counterstrike-source.test,131072,3.379264,57.108367,4
counterstrike-source.test,16384,0.446528,17.638176,32
counterstrike-source.test,262144,1.758432,128.617828,64
counterstrike-source.test,16384,0.430976,32.150529,64
counterstrike-source.test,1048576,3.009632,410.544107,64
counterstrike-source.test,131072,0.851488,71.008489,64
counterstrike-source.test,16384,0.490688,4.656119,2
counterstrike-source.test,65536,0.738816,27.1547,8
counterstrike-source.test,256,0.265952,1.193171,4
counterstrike-source.test,256,0.25296,12.8173,64
counterstrike-source.test,262144,8.70352,137.488878,4
counterstrike-source.test,524288,29.592832,227.350784,8
counterstrike-source.test,262144,2.873664,85.554854,16
counterstrike-source.test,524288,45.888288,231.484419,4
counterstrike-source.test,65536,0.735936,23.31405,16
counterstrike-source.test,524288,17.63232,314.492925,16
counterstrike-source.test,256,0.270112,0.948377,2
counterstrike-source.test,131072,1.044864,45.102623,16
counterstrike-source.test,524288,9.401984,288.278988,32
counterstrike-source.test,65536,3.228576,23.684978,2
counterstrike-source.test,1048576,38.129792,978.064808,32
counterstrike-source.test,65536,0.504736,55.020596,64
counterstrike-source.test,4096,0.385632,23.468539,64
counterstrike-source.test,4096,0.401408,2.056621,2
counterstrike-source.test,524288,68.165024,215.59214,2
counterstrike-source.test,131072,2.993376,58.764377,8
counterstrike-source.test,4096,0.402144,4.897491,8
counterstrike-source.test,131072,1.058592,48.073887,32
counterstrike-source.test,1048576,306.748672,817.80623,4
counterstrike-source.test,1048576,119.07104,923.323514,16
counterstrike-source.test,65536,0.738368,33.44916,32
counterstrike-source.test,262144,6.047008,99.831701,8
counterstrike-source.test,1048576,455.396544,778.320604,2
counterstrike-source.test,16384,0.44704,7.3645,8
counterstrike-source.test,4096,0.381312,12.583122,32
counterstrike-source.test,16384,0.447168,11.093475,16
counterstrike-source.test,256,0.255872,3.309367,16
counterstrike-source.test,1048576,527.061632,824.395439,1
counterstrike-source.test,524288,81.228896,207.2169,1
counterstrike-source.test,262144,15.341568,80.541358,1
counterstrike-source.test,131072,5.9352,35.730525,1
counterstrike-source.test,65536,3.950432,28.624928,1
counterstrike-source.test,16384,0.58512,4.478721,1
counterstrike-source.test,4096,0.401024,1.791992,1
counterstrike-source.test,256,0.268608,0.642401,1
