Fsm,No_of_testcases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised
aim.test,262144,32,62.4981,25.958624,89.60056,103.83904,181.673565
aim.test,262144,8,114.602397,25.958624,89.60056,103.83904,181.673565
aim.test,262144,4,212.151681,25.958624,89.60056,103.83904,181.673565
aim.test,262144,1,456.155179,25.958624,89.60056,103.83904,181.673565
battlefield2.test,262144,32,66.058688,49.105664,117.606001,54.166496,123.828026
battlefield2.test,262144,8,133.753622,49.105664,117.606001,54.166496,123.828026
battlefield2.test,262144,4,254.833187,49.105664,117.606001,54.166496,123.828026
battlefield2.test,262144,1,605.915422,49.105664,117.606001,54.166496,123.828026
counterstrike-source.test,262144,32,35.836132,15.341568,80.541358,100.638368,174.263249
counterstrike-source.test,262144,8,89.545805,15.341568,80.541358,100.638368,174.263249
counterstrike-source.test,262144,4,130.017454,15.341568,80.541358,100.638368,174.263249
counterstrike-source.test,262144,1,311.019997,15.341568,80.541358,100.638368,174.263249
dayofdefeat-source.test,262144,32,37.793858,15.370784,80.600793,41.72512,129.386077
dayofdefeat-source.test,262144,8,89.702809,15.370784,80.600793,41.72512,129.386077
dayofdefeat-source.test,262144,4,171.091553,15.370784,80.600793,41.72512,129.386077
dayofdefeat-source.test,262144,1,303.95756,15.370784,80.600793,41.72512,129.386077
dhcp.test,262144,32,46.341122,16.494848,81.288941,36.933248,126.057294
dhcp.test,262144,8,95.423591,16.494848,81.288941,36.933248,126.057294
dhcp.test,262144,4,159.09908,16.494848,81.288941,36.933248,126.057294
dhcp.test,262144,1,325.560426,16.494848,81.288941,36.933248,126.057294
dns.test,262144,32,408.081091,113.452896,183.123698,115.065888,186.506732
dns.test,262144,8,489.378273,113.452896,183.123698,115.065888,186.506732
dns.test,262144,4,524.930918,113.452896,183.123698,115.065888,186.506732
dns.test,262144,1,875.094948,113.452896,183.123698,115.065888,186.506732
gopher.test,262144,32,145.673452,54.11424,123.022757,104.181216,189.2163
gopher.test,262144,8,224.912683,54.11424,123.022757,104.181216,189.2163
gopher.test,262144,4,415.064723,54.11424,123.022757,104.181216,189.2163
gopher.test,262144,1,956.688134,54.11424,123.022757,104.181216,189.2163
