Fsm,No_of_testcases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised
aim.test,1344960,32,1561.527147,603.696384,929.502429,778.569728,1101.568453
aim.test,1344960,8,4581.431354,603.696384,929.502429,778.569728,1101.568453
aim.test,1344960,4,6752.304596,603.696384,929.502429,778.569728,1101.568453
aim.test,1344960,1,10497.750968,603.696384,929.502429,778.569728,1101.568453
aim.test,1048576,32,454.111409,222.624768,486.844904,522.817344,780.63741
aim.test,1048576,8,1001.107602,222.624768,486.844904,522.817344,780.63741
aim.test,1048576,4,1553.542905,222.624768,486.844904,522.817344,780.63741
aim.test,1048576,1,3997.353792,222.624768,486.844904,522.817344,780.63741
aim.test,524288,32,262.010158,112.953056,239.772503,261.7208,397.559166
aim.test,524288,8,484.695255,112.953056,239.772503,261.7208,397.559166
aim.test,524288,4,818.976773,112.953056,239.772503,261.7208,397.559166
aim.test,524288,1,1975.880999,112.953056,239.772503,261.7208,397.559166
aim.test,262144,32,62.4981,25.958624,89.60056,103.83904,181.673565
aim.test,262144,8,114.602397,25.958624,89.60056,103.83904,181.673565
aim.test,262144,4,212.151681,25.958624,89.60056,103.83904,181.673565
aim.test,262144,1,456.155179,25.958624,89.60056,103.83904,181.673565
aim.test,131072,32,19.41243,9.045888,43.329494,49.2752,89.467072
aim.test,131072,8,33.53032,9.045888,43.329494,49.2752,89.467072
aim.test,131072,4,57.274665,9.045888,43.329494,49.2752,89.467072
aim.test,131072,1,162.814311,9.045888,43.329494,49.2752,89.467072
aim.test,65536,32,9.078619,4.76768,20.942167,23.842528,41.48364
aim.test,65536,8,17.550806,4.76768,20.942167,23.842528,41.48364
aim.test,65536,4,26.83057,4.76768,20.942167,23.842528,41.48364
aim.test,65536,1,59.715834,4.76768,20.942167,23.842528,41.48364
aim.test,16384,32,1.838297,0.970624,4.901752,7.773952,11.596121
aim.test,16384,8,3.613946,0.970624,4.901752,7.773952,11.596121
aim.test,16384,4,6.428136,0.970624,4.901752,7.773952,11.596121
aim.test,16384,1,15.574573,0.970624,4.901752,7.773952,11.596121
aim.test,4096,32,0.500484,0.619808,2.0085,2.604608,3.887444
aim.test,4096,8,1.040847,0.619808,2.0085,2.604608,3.887444
aim.test,4096,4,1.918963,0.619808,2.0085,2.604608,3.887444
aim.test,4096,1,3.260408,0.619808,2.0085,2.604608,3.887444
aim.test,256,32,4.447433,0.26304,0.561246,2.033472,2.461701
aim.test,256,8,0.033245,0.26304,0.561246,2.033472,2.461701
aim.test,256,4,0.054197,0.26304,0.561246,2.033472,2.461701
aim.test,256,1,0.077314,0.26304,0.561246,2.033472,2.461701
ares.test,65020,32,9.436068,5.9088,21.411989,14.248768,29.828433
ares.test,65020,8,10.588801,5.9088,21.411989,14.248768,29.828433
ares.test,65020,4,17.530971,5.9088,21.411989,14.248768,29.828433
ares.test,65020,1,45.657865,5.9088,21.411989,14.248768,29.828433
ares.test,16384,32,5.102197,0.573344,4.135311,1.817216,5.465022
ares.test,16384,8,2.294501,0.573344,4.135311,1.817216,5.465022
ares.test,16384,4,4.246989,0.573344,4.135311,1.817216,5.465022
ares.test,16384,1,9.157889,0.573344,4.135311,1.817216,5.465022
ares.test,4096,32,4.611421,0.391552,1.480639,0.742208,2.25078
ares.test,4096,8,0.584922,0.391552,1.480639,0.742208,2.25078
ares.test,4096,4,1.011583,0.391552,1.480639,0.742208,2.25078
ares.test,4096,1,3.485367,0.391552,1.480639,0.742208,2.25078
ares.test,256,32,4.417611,0.27488,0.7531,0.50352,0.848014
ares.test,256,8,0.033035,0.27488,0.7531,0.50352,0.848014
ares.test,256,4,0.057899,0.27488,0.7531,0.50352,0.848014
ares.test,256,1,0.140521,0.27488,0.7531,0.50352,0.848014
battlefield2.test,1476790,32,1147.884008,1003.321152,1355.348456,1037.597664,1387.723797
battlefield2.test,1476790,8,2882.338292,1003.321152,1355.348456,1037.597664,1387.723797
battlefield2.test,1476790,4,4741.918031,1003.321152,1355.348456,1037.597664,1387.723797
battlefield2.test,1476790,1,11589.469929,1003.321152,1355.348456,1037.597664,1387.723797
battlefield2.test,1048576,32,653.248642,512.484192,758.85742,531.556352,964.151925
battlefield2.test,1048576,8,1385.806988,512.484192,758.85742,531.556352,964.151925
battlefield2.test,1048576,4,2493.339279,512.484192,758.85742,531.556352,964.151925
battlefield2.test,1048576,1,6194.727486,512.484192,758.85742,531.556352,964.151925
battlefield2.test,524288,32,213.076666,150.09584,303.600112,159.37152,295.539967
battlefield2.test,524288,8,374.086329,150.09584,303.600112,159.37152,295.539967
battlefield2.test,524288,4,689.473232,150.09584,303.600112,159.37152,295.539967
battlefield2.test,524288,1,1864.033749,150.09584,303.600112,159.37152,295.539967
battlefield2.test,262144,32,66.058688,49.105664,117.606001,54.166496,123.828026
battlefield2.test,262144,8,133.753622,49.105664,117.606001,54.166496,123.828026
battlefield2.test,262144,4,254.833187,49.105664,117.606001,54.166496,123.828026
battlefield2.test,262144,1,605.915422,49.105664,117.606001,54.166496,123.828026
battlefield2.test,131072,32,32.903065,20.403392,54.255684,24.90976,65.591502
battlefield2.test,131072,8,51.963069,20.403392,54.255684,24.90976,65.591502
battlefield2.test,131072,4,103.550391,20.403392,54.255684,24.90976,65.591502
battlefield2.test,131072,1,233.206879,20.403392,54.255684,24.90976,65.591502
battlefield2.test,65536,32,11.115054,9.4928,38.455248,12.236704,27.033519
battlefield2.test,65536,8,17.761723,9.4928,38.455248,12.236704,27.033519
battlefield2.test,65536,4,33.167065,9.4928,38.455248,12.236704,27.033519
battlefield2.test,65536,1,80.830766,9.4928,38.455248,12.236704,27.033519
battlefield2.test,16384,32,2.431041,2.150496,6.075506,2.614272,6.28468
battlefield2.test,16384,8,5.416762,2.150496,6.075506,2.614272,6.28468
battlefield2.test,16384,4,8.42539,2.150496,6.075506,2.614272,6.28468
battlefield2.test,16384,1,20.244585,2.150496,6.075506,2.614272,6.28468
battlefield2.test,4096,32,0.706726,1.352512,2.761879,1.42368,2.698952
battlefield2.test,4096,8,1.410308,1.352512,2.761879,1.42368,2.698952
battlefield2.test,4096,4,2.669479,1.352512,2.761879,1.42368,2.698952
battlefield2.test,4096,1,4.652557,1.352512,2.761879,1.42368,2.698952
battlefield2.test,256,32,4.442823,0.27232,0.473245,0.31456,0.488052
battlefield2.test,256,8,0.031219,0.27232,0.473245,0.31456,0.488052
battlefield2.test,256,4,0.051823,0.27232,0.473245,0.31456,0.488052
battlefield2.test,256,1,0.07487,0.27232,0.473245,0.31456,0.488052
bgp.test,64530,32,11.000656,2.754912,20.175865,6.178912,21.768384
bgp.test,64530,8,11.265285,2.754912,20.175865,6.178912,21.768384
bgp.test,64530,4,20.417378,2.754912,20.175865,6.178912,21.768384
bgp.test,64530,1,53.767295,2.754912,20.175865,6.178912,21.768384
bgp.test,16384,32,5.550998,0.738464,5.709328,1.697312,5.691168
bgp.test,16384,8,3.252656,0.738464,5.709328,1.697312,5.691168
bgp.test,16384,4,5.498686,0.738464,5.709328,1.697312,5.691168
bgp.test,16384,1,12.410475,0.738464,5.709328,1.697312,5.691168
bgp.test,4096,32,4.306213,0.492512,1.826074,0.69728,2.008779
bgp.test,4096,8,0.76651,0.492512,1.826074,0.69728,2.008779
bgp.test,4096,4,1.519052,0.492512,1.826074,0.69728,2.008779
bgp.test,4096,1,4.960419,0.492512,1.826074,0.69728,2.008779
bgp.test,256,32,4.476906,0.336608,0.771748,0.463008,0.833418
bgp.test,256,8,0.03953,0.336608,0.771748,0.463008,0.833418
bgp.test,256,4,0.082133,0.336608,0.771748,0.463008,0.833418
bgp.test,256,1,0.255759,0.336608,0.771748,0.463008,0.833418
biff.test,3910,32,4.558342,0.296992,1.817484,0.56864,1.840112
biff.test,3910,8,0.536173,0.296992,1.817484,0.56864,1.840112
biff.test,3910,4,0.90291,0.296992,1.817484,0.56864,1.840112
biff.test,3910,1,2.410228,0.296992,1.817484,0.56864,1.840112
biff.test,256,32,4.417541,0.07536,0.571094,0.19296,0.545601
biff.test,256,8,0.017461,0.07536,0.571094,0.19296,0.545601
biff.test,256,4,0.026749,0.07536,0.571094,0.19296,0.545601
biff.test,256,1,0.104902,0.07536,0.571094,0.19296,0.545601
counterstrike-source.test,1472460,32,2720.116879,1361.677952,1729.527023,1374.871968,1727.032344
counterstrike-source.test,1472460,8,7430.742045,1361.677952,1729.527023,1374.871968,1727.032344
counterstrike-source.test,1472460,4,13104.22622,1361.677952,1729.527023,1374.871968,1727.032344
counterstrike-source.test,1472460,1,23980.602855,1361.677952,1729.527023,1374.871968,1727.032344
counterstrike-source.test,1048576,32,1211.99029,527.061632,824.395439,873.218016,1132.11408
counterstrike-source.test,1048576,8,2987.282177,527.061632,824.395439,873.218016,1132.11408
counterstrike-source.test,1048576,4,5121.846464,527.061632,824.395439,873.218016,1132.11408
counterstrike-source.test,1048576,1,9458.487058,527.061632,824.395439,873.218016,1132.11408
counterstrike-source.test,524288,32,222.152981,81.228896,207.2169,253.480384,395.852102
counterstrike-source.test,524288,8,453.44583,81.228896,207.2169,253.480384,395.852102
counterstrike-source.test,524288,4,767.712127,81.228896,207.2169,253.480384,395.852102
