Fsm,Test-Cases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Speedup vs Exec,Speedup vs Total
aim.test,1048576,8,1001.107602,222.624768,486.844904,4.4968383841,2.0563173072
aim.test,524288,8,484.695255,112.953056,239.772503,4.2911212159,2.0214797316
aim.test,262144,8,114.602397,25.958624,89.60056,4.414810161,1.2790366154
aim.test,131072,8,33.53032,9.045888,43.329494,3.7066919246,0.7738451781
aim.test,65536,8,17.550806,4.76768,20.942167,3.6812046949,0.8380606458
aim.test,16384,8,3.613946,0.970624,4.901752,3.7233223164,0.7372763861
aim.test,4096,8,1.040847,0.619808,2.0085,1.6793055269,0.5182210605
ares.test,16384,8,2.294501,0.573344,4.135311,4.0019621728,0.5548557291
ares.test,4096,8,0.584922,0.391552,1.480639,1.4938552223,0.3950470034
battlefield2.test,1048576,8,1385.806988,512.484192,758.85742,2.7040970427,1.8261757103
battlefield2.test,524288,8,374.086329,150.09584,303.600112,2.492316436,1.2321679545
battlefield2.test,262144,8,133.753622,49.105664,117.606001,2.7237921475,1.137302696
battlefield2.test,131072,8,51.963069,20.403392,54.255684,2.5467857991,0.957744243
battlefield2.test,65536,8,17.761723,9.4928,38.455248,1.8710731291,0.4618803395
battlefield2.test,16384,8,5.416762,2.150496,6.075506,2.5188430948,0.8915738047
battlefield2.test,4096,8,1.410308,1.352512,2.761879,1.042732338,0.5106335216
bgp.test,16384,8,3.252656,0.738464,5.709328,4.4046236513,0.5697090796
bgp.test,4096,8,0.76651,0.492512,1.826074,1.5563275616,0.4197584545
counterstrike-source.test,1048576,8,2987.282177,527.061632,824.395439,5.6678042863,3.6236034744
counterstrike-source.test,524288,8,453.44583,81.228896,207.2169,5.5823217147,2.1882666423
counterstrike-source.test,262144,8,89.545805,15.341568,80.541358,5.836809184,1.1117990461
counterstrike-source.test,131072,8,19.672444,5.9352,35.730525,3.3145376735,0.5505780841
counterstrike-source.test,65536,8,10.450442,3.950432,28.624928,2.6453922001,0.3650818615
counterstrike-source.test,16384,8,2.357707,0.58512,4.478721,4.0294418239,0.5264241733
counterstrike-source.test,4096,8,0.605595,0.401024,1.791992,1.5101215887,0.3379451471
dayofdefeat-source.test,262144,8,89.702809,15.370784,80.600793,5.8359293189,1.1129271272
dayofdefeat-source.test,131072,8,20.216369,4.64,35.067939,4.3569760776,0.576491507
dayofdefeat-source.test,65536,8,10.309432,2.38464,27.684443,4.3232655663,0.3723908045
dayofdefeat-source.test,16384,8,2.367066,0.586016,4.651579,4.039251488,0.5088736534
dayofdefeat-source.test,4096,8,0.610415,0.342145,2.761234,1.7840827719,0.2210660161
dhcp.test,262144,8,95.423591,16.494848,81.288941,5.7850542788,1.1738815862
dhcp.test,131072,8,22.168995,5.213504,37.627348,4.2522255665,0.5891724019
dhcp.test,65536,8,11.084184,2.632736,27.499153,4.2101388062,0.403073651
dhcp.test,16384,8,2.632603,0.65856,4.385972,3.9975142736,0.600232514
dhcp.test,4096,8,0.697925,0.43808,1.893401,1.5931450877,0.3686091853
dns.test,1048576,8,6321.917539,999.66608,1260.669969,6.3240292589,5.0147284337
dns.test,524288,8,692.230711,198.126688,331.738599,3.493879184,2.0866752108
dns.test,262144,8,489.378273,113.452896,183.123698,4.3134930024,2.6723918223
dns.test,131072,8,385.167783,129.627936,168.744359,2.9713331469,2.2825520526
dns.test,65536,8,15.370422,59.111136,88.25889,0.2600258266,0.1741515444
dns.test,16384,8,13.656933,57.755904,61.875872,0.2364595142,0.2207149986
dns.test,4096,8,0.739341,0.538688,1.913096,1.3724846293,0.3864630944
finger.test,4096,8,0.461861,0.233248,1.437337,1.980128447,0.3213310448
ftp.test,16384,8,1.939846,0.516512,4.299019,3.7556649216,0.4512299201
ftp.test,4096,8,0.378191,0.210176,1.57234,1.799401454,0.2405274941
gopher.test,262144,8,224.912683,54.11424,123.022757,4.1562568928,1.8282201479
gopher.test,131072,8,134.731231,24.984736,60.46654,5.3925417103,2.2281948165
gopher.test,65536,8,17.192375,6.502336,35.472739,2.6440305453,0.4846644348
gopher.test,16384,8,2.579942,1.695168,5.510139,1.5219388285,0.4682172265
gopher.test,4096,8,0.565576,0.29408,1.670817,1.9232045702,0.3385026607
h323.test,1048576,8,1775.721666,514.355072,806.574446,3.4523265399,2.2015595396
