Fsm,Test-Cases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised,Speedup
aim.test,1048576,8,1001.107602,222.624768,486.844904,522.817344,780.63741,1.6034622188
aim.test,524288,8,484.695255,112.953056,239.772503,261.7208,397.559166,1.6580682148
aim.test,262144,8,114.602397,25.958624,89.60056,103.83904,181.673565,2.0275940798
aim.test,131072,8,33.53032,9.045888,43.329494,49.2752,89.467072,2.0648076804
aim.test,65536,8,17.550806,4.76768,20.942167,23.842528,41.48364,1.980866641
aim.test,16384,8,3.613946,0.970624,4.901752,7.773952,11.596121,2.3657094443
aim.test,4096,8,1.040847,0.619808,2.0085,2.604608,3.887444,1.9354961414
ares.test,16384,8,2.294501,0.573344,4.135311,1.817216,5.465022,1.3215504227
ares.test,4096,8,0.584922,0.391552,1.480639,0.742208,2.25078,1.5201409662
battlefield2.test,1048576,8,1385.806988,512.484192,758.85742,531.556352,964.151925,1.2705310637
battlefield2.test,524288,8,374.086329,150.09584,303.600112,159.37152,295.539967,0.9734514426
battlefield2.test,262144,8,133.753622,49.105664,117.606001,54.166496,123.828026,1.0529056761
battlefield2.test,131072,8,51.963069,20.403392,54.255684,24.90976,65.591502,1.2089332797
battlefield2.test,65536,8,17.761723,9.4928,38.455248,12.236704,27.033519,0.7029864688
battlefield2.test,16384,8,5.416762,2.150496,6.075506,2.614272,6.28468,1.0344290665
battlefield2.test,4096,8,1.410308,1.352512,2.761879,1.42368,2.698952,0.9772158737
bgp.test,16384,8,3.252656,0.738464,5.709328,1.697312,5.691168,0.9968192404
bgp.test,4096,8,0.76651,0.492512,1.826074,0.69728,2.008779,1.100053448
counterstrike-source.test,1048576,8,2987.282177,527.061632,824.395439,873.218016,1132.11408,1.3732658218
counterstrike-source.test,524288,8,453.44583,81.228896,207.2169,253.480384,395.852102,1.9103273044
counterstrike-source.test,262144,8,89.545805,15.341568,80.541358,100.638368,174.263249,2.1636492521
counterstrike-source.test,131072,8,19.672444,5.9352,35.730525,47.993344,89.253707,2.49796797
counterstrike-source.test,65536,8,10.450442,3.950432,28.624928,23.79392,41.406955,1.4465348175
counterstrike-source.test,16384,8,2.357707,0.58512,4.478721,7.741504,11.353282,2.5349384344
counterstrike-source.test,4096,8,0.605595,0.401024,1.791992,2.614496,3.881437,2.1659901383
dayofdefeat-source.test,262144,8,89.702809,15.370784,80.600793,41.72512,129.386077,1.6052705213
dayofdefeat-source.test,131072,8,20.216369,4.64,35.067939,19.537312,53.335659,1.5209236847
dayofdefeat-source.test,65536,8,10.309432,2.38464,27.684443,10.23248,38.917317,1.4057467943
dayofdefeat-source.test,16384,8,2.367066,0.586016,4.651579,3.05408,6.838802,1.4702108682
dayofdefeat-source.test,4096,8,0.610415,0.342145,2.761234,1.188352,2.560456,0.927286858
dhcp.test,262144,8,95.423591,16.494848,81.288941,36.933248,126.057294,1.5507311628
dhcp.test,131072,8,22.168995,5.213504,37.627348,17.006144,52.465226,1.3943375972
dhcp.test,65536,8,11.084184,2.632736,27.499153,8.922592,25.779586,0.9374683649
dhcp.test,16384,8,2.632603,0.65856,4.385972,2.631968,6.277207,1.4312008832
dhcp.test,4096,8,0.697925,0.43808,1.893401,1.041472,2.415256,1.2756177904
dns.test,1048576,8,6321.917539,999.66608,1260.669969,1009.84704,1268.317658,1.0060663688
dns.test,524288,8,692.230711,198.126688,331.738599,203.507712,341.204741,1.028534943
dns.test,262144,8,489.378273,113.452896,183.123698,115.065888,186.506732,1.0184740372
dns.test,131072,8,385.167783,129.627936,168.744359,111.193504,145.669023,0.8632526969
dns.test,65536,8,15.370422,59.111136,88.25889,59.42272,77.233718,0.8750814564
dns.test,16384,8,13.656933,57.755904,61.875872,56.562784,63.677428,1.0291156462
dns.test,4096,8,0.739341,0.538688,1.913096,0.681184,2.15824,1.1281399365
finger.test,4096,8,0.461861,0.233248,1.437337,0.461248,1.776626,1.2360538969
ftp.test,16384,8,1.939846,0.516512,4.299019,1.484992,5.24949,1.2210902069
ftp.test,4096,8,0.378191,0.210176,1.57234,0.535456,1.923293,1.2232042688
gopher.test,262144,8,224.912683,54.11424,123.022757,104.181216,189.2163,1.5380593365
gopher.test,131072,8,134.731231,24.984736,60.46654,49.032544,84.177346,1.3921310199
gopher.test,65536,8,17.192375,6.502336,35.472739,16.619392,33.248775,0.9373049823
gopher.test,16384,8,2.579942,1.695168,5.510139,4.883456,9.916993,1.7997718388
gopher.test,4096,8,0.565576,0.29408,1.670817,1.61296,3.011003,1.8021141753
h323.test,1048576,8,1775.721666,514.355072,806.574446,534.357824,790.456206,0.9800164262
h323.test,524288,8,424.036205,135.88736,285.128363,146.616128,283.036324,0.9926628169
