FSM,Testcases,Execution GPU,Total GPU
halflife2-deathmatch.test,1088400,599.89536,874.264371
halflife2-deathmatch.test,16384,0.585088,4.669527
halflife2-deathmatch.test,4096,0.401024,1.807636
halflife2-deathmatch.test,1048576,802.24736,1072.066997
halflife2-deathmatch.test,131072,5.378464,63.432495
halflife2-deathmatch.test,524288,212.377984,346.168651
halflife2-deathmatch.test,65536,3.44368,18.480949
halflife2-deathmatch.test,262144,79.267808,159.459239
halflife2-deathmatch.test,256,0.268512,0.634439
dhcp.test,131072,5.213504,37.627348
dhcp.test,262144,36.933248,126.057294
dhcp.test,256,0.207936,0.623614
dhcp.test,4096,0.43808,1.893401
dhcp.test,65536,2.632736,27.499153
dhcp.test,16384,0.65856,4.385972
dhcp.test,384400,40.051808,140.191158
counterstrike-source.test,65536,3.950432,28.624928
counterstrike-source.test,1048576,873.218016,1132.11408
counterstrike-source.test,16384,0.58512,4.478721
counterstrike-source.test,4096,0.401024,1.791992
counterstrike-source.test,131072,5.9352,35.730525
counterstrike-source.test,262144,100.638368,174.263249
counterstrike-source.test,256,0.268608,0.642401
counterstrike-source.test,524288,253.480384,395.852102
counterstrike-source.test,1472460,1361.677952,1729.527023
gopher.test,283400,65.134016,145.695077
gopher.test,131072,24.984736,60.46654
gopher.test,262144,104.181216,189.2163
gopher.test,65536,6.502336,35.472739
gopher.test,256,0.136768,0.57263
gopher.test,4096,0.29408,1.670817
gopher.test,16384,1.695168,5.510139
finger.test,4096,0.233248,1.437337
finger.test,11090,1.5736,4.355312
finger.test,256,0.076512,0.4539
mute.test,10,0.040832,0.381474
skypetoskype.test,256,0.361856,0.790325
skypetoskype.test,65536,7.215744,23.460228
skypetoskype.test,16384,6.6736,10.555835
skypetoskype.test,262144,84.731008,181.027741
skypetoskype.test,832620,386.562976,689.026282
skypetoskype.test,4096,6.637696,8.0428
skypetoskype.test,131072,10.703168,50.409524
skypetoskype.test,524288,225.109408,360.449059
stun.test,524288,206.565088,333.278716
stun.test,4096,0.387616,1.763566
stun.test,65536,3.05728,23.339262
stun.test,131072,5.599008,63.525328
stun.test,262144,81.152608,153.062113
stun.test,961140,418.69808,654.946254
stun.test,16384,0.568192,4.355382
stun.test,256,0.257536,0.727608
liveforspeed.test,16384,1.247136,5.02544
liveforspeed.test,64260,2.579104,17.645437
liveforspeed.test,4096,1.160128,2.55012
liveforspeed.test,256,0.361952,0.845151
ares.test,256,0.27488,0.7531
ares.test,4096,0.391552,1.480639
ares.test,65020,5.9088,21.411989
ares.test,16384,0.573344,4.135311
telnet.test,2540,1.059616,2.108932
telnet.test,256,0.261024,0.69143
soribada.test,256,0.263552,0.684377
soribada.test,131072,6.163136,38.676652
soribada.test,65536,2.89088,28.356112
soribada.test,262144,60.886048,130.606834
soribada.test,16384,0.64112,4.551985
soribada.test,386120,79.505888,175.721963
soribada.test,4096,0.512384,2.210412
teamspeak.test,4096,0.396064,1.785357
teamspeak.test,524288,138.209664,342.813328
