FSM,Testcases,Execution GPU,Total GPU,Chunks
yahoo.test,2097152,1658.009888,2335.109178,1
yahoo.test,2097152,1300.92816,2141.761251,2
yahoo.test,2097152,819.288224,2182.072264,4
yahoo.test,2097152,470.953856,2279.126092,8
yahoo.test,2097152,269.45008,2445.682419,16
yahoo.test,2097152,171.48416,2593.338814,32
yahoo.test,2097152,7.788416,1022.533555,64
yahoo.test,1048576,371.741664,615.47636,1
yahoo.test,1048576,276.494592,630.327781,2
yahoo.test,1048576,167.030816,645.698415,4
yahoo.test,1048576,101.827712,698.322192,8
yahoo.test,1048576,58.537472,743.106269,16
yahoo.test,1048576,31.743488,876.93336,32
yahoo.test,1048576,4.442464,586.550819,64
yahoo.test,524288,100.136192,226.059114,1
yahoo.test,524288,76.385184,243.309761,2
yahoo.test,524288,46.711744,269.049823,4
yahoo.test,524288,26.012672,301.797427,8
yahoo.test,524288,16.954304,317.213178,16
yahoo.test,524288,7.8688,291.873726,32
yahoo.test,524288,2.27728,327.740727,64
yahoo.test,262144,31.021376,100.366537,1
yahoo.test,262144,24.864672,106.147882,2
yahoo.test,262144,16.518336,150.008165,4
yahoo.test,262144,10.858176,106.491991,8
yahoo.test,262144,8.944512,111.47832,16
yahoo.test,262144,3.177664,170.106436,32
yahoo.test,262144,2.40368,151.2262,64
yahoo.test,131072,11.557824,40.488198,1
yahoo.test,131072,9.9688,55.509626,2
yahoo.test,131072,7.66976,67.998672,4
yahoo.test,131072,6.398944,48.772581,8
yahoo.test,131072,1.743552,58.948898,16
yahoo.test,131072,1.6184,60.020405,32
yahoo.test,131072,1.40864,89.196597,64
yahoo.test,65536,7.453728,26.077605,1
yahoo.test,65536,6.654784,22.057533,2
yahoo.test,65536,5.801248,28.357859,4
yahoo.test,65536,1.172704,25.850062,8
yahoo.test,65536,1.142848,27.348301,16
yahoo.test,65536,1.135232,37.958961,32
yahoo.test,65536,1.1416,59.619725,64
yahoo.test,16384,0.817952,4.653116,1
yahoo.test,16384,0.59776,5.346083,2
yahoo.test,16384,0.484608,5.746344,4
yahoo.test,16384,0.481888,7.658323,8
yahoo.test,16384,0.478848,14.059221,16
yahoo.test,16384,0.477344,20.395446,32
yahoo.test,16384,0.462112,38.603389,64
yahoo.test,4096,0.4384,1.737096,1
yahoo.test,4096,0.434624,2.154818,2
yahoo.test,4096,0.429888,3.037544,4
yahoo.test,4096,0.429536,4.999949,8
yahoo.test,4096,0.414432,8.700009,16
yahoo.test,4096,0.410912,13.124953,32
yahoo.test,4096,0.41424,23.368456,64
yahoo.test,256,0.278912,0.505792,1
yahoo.test,256,0.277888,0.668242,2
yahoo.test,256,0.277376,1.029323,4
yahoo.test,256,0.277792,1.834595,8
yahoo.test,256,0.2704,3.430471,16
yahoo.test,256,0.264512,6.190605,32
yahoo.test,256,0.26272,12.02935,64
